cell_id,enodeb_id,clutter_type,total_ho_attempts,total_ho_success,total_ho_failures,ho_failure_rate_pct,failure_too_early,failure_too_late,failure_wrong_cell,total_pingpong,pingpong_rate_pct,avg_rsrp_dBm,problem_cell
RKSB-001-1,RKSB-001,Dense Urban,202227,198073,4154,2.05,447,718,2989,2200,1.11,-85.0,No
RKSB-001-2,RKSB-001,Dense Urban,200373,196217,4156,2.07,429,717,3010,2212,1.13,-84.8,No
RKSB-001-3,RKSB-001,Dense Urban,200774,189723,11051,5.5,2170,3174,5707,5226,2.75,-85.0,Yes
RKSB-002-1,RKSB-002,Dense Urban,200813,196742,4071,2.03,413,704,2954,2199,1.12,-84.9,No
RKSB-002-2,RKSB-002,Dense Urban,200583,196515,4068,2.03,421,695,2952,2194,1.12,-85.0,No
RKSB-002-3,RKSB-002,Dense Urban,200676,196574,4102,2.04,432,690,2980,2197,1.12,-85.1,No
RKSB-003-1,RKSB-003,Dense Urban,199108,195053,4055,2.04,422,685,2948,5467,2.8,-84.9,No
RKSB-003-2,RKSB-003,Dense Urban,201940,197827,4113,2.04,409,685,3019,5376,2.72,-84.8,No
RKSB-003-3,RKSB-003,Dense Urban,199845,195753,4092,2.05,419,688,2985,5340,2.73,-85.0,No
RKSB-004-1,RKSB-004,Dense Urban,199440,188626,10814,5.42,2145,3065,5604,1996,1.06,-84.9,Yes
RKSB-004-2,RKSB-004,Dense Urban,199442,195419,4023,2.02,402,653,2968,2072,1.06,-85.0,No
RKSB-004-3,RKSB-004,Dense Urban,201053,196921,4132,2.06,427,698,3007,2214,1.12,-85.0,No
RKSB-005-1,RKSB-005,Dense Urban,199496,195353,4143,2.08,444,693,3006,2109,1.08,-85.0,No
RKSB-005-2,RKSB-005,Dense Urban,201566,197442,4124,2.05,422,697,3005,2189,1.11,-85.0,No
RKSB-005-3,RKSB-005,Dense Urban,202784,198646,4138,2.04,439,738,2961,2202,1.11,-85.0,No
RKSB-006-1,RKSB-006,Dense Urban,202495,198301,4194,2.07,439,714,3041,2170,1.09,-85.1,No
RKSB-006-2,RKSB-006,Dense Urban,201043,196827,4216,2.1,451,749,3016,2168,1.1,-85.0,No
RKSB-006-3,RKSB-006,Urban,114570,113744,826,0.72,8,16,802,2588,2.28,-80.0,No
RKSB-007-1,RKSB-007,Dense Urban,200553,196420,4133,2.06,445,713,2975,2177,1.11,-85.1,No
RKSB-007-2,RKSB-007,Dense Urban,201818,197660,4158,2.06,429,718,3011,5430,2.75,-85.0,No
RKSB-007-3,RKSB-007,Dense Urban,202388,198305,4083,2.02,422,677,2984,2232,1.13,-85.1,No
RKSB-008-1,RKSB-008,Urban,113691,112825,866,0.76,7,16,843,856,0.76,-80.1,No
RKSB-008-2,RKSB-008,Urban,115002,114120,882,0.77,8,17,857,885,0.78,-80.0,No
RKSB-008-3,RKSB-008,Dense Urban,199765,188805,10960,5.49,2193,3119,5648,5236,2.77,-85.1,Yes
RKSB-009-1,RKSB-009,Urban,114944,114076,868,0.76,3,13,852,904,0.79,-80.1,No
RKSB-009-2,RKSB-009,Urban,114815,113958,857,0.75,6,13,838,911,0.8,-79.9,No
RKSB-009-3,RKSB-009,Dense Urban,200241,196098,4143,2.07,433,721,2989,5307,2.71,-84.8,No
RKSB-010-1,RKSB-010,Urban,114519,113638,881,0.77,8,18,855,853,0.75,-79.9,No
RKSB-010-2,RKSB-010,Dense Urban,200698,196484,4214,2.1,436,719,3059,2168,1.1,-85.0,No
RKSB-010-3,RKSB-010,Dense Urban,200123,196008,4115,2.06,442,711,2962,2163,1.1,-85.1,No
RKSB-011-1,RKSB-011,Dense Urban,199297,195232,4065,2.04,422,700,2943,2137,1.09,-85.1,No
RKSB-011-2,RKSB-011,Urban,116032,115161,871,0.75,10,19,842,933,0.81,-80.1,No
RKSB-011-3,RKSB-011,Urban,114960,111711,3249,2.83,291,485,2473,850,0.76,-80.1,No
RKSB-012-1,RKSB-012,Dense Urban,202491,198365,4126,2.04,422,723,2981,2244,1.13,-84.9,No
RKSB-012-2,RKSB-012,Dense Urban,200843,196751,4092,2.04,383,686,3023,2049,1.04,-85.0,No
RKSB-012-3,RKSB-012,Dense Urban,199252,195154,4098,2.06,430,701,2967,2098,1.08,-85.0,No
RKSB-013-1,RKSB-013,Urban,114147,113282,865,0.76,9,21,835,839,0.74,-79.8,No
RKSB-013-2,RKSB-013,Urban,112859,112064,795,0.7,1,12,782,838,0.75,-79.9,No
RKSB-013-3,RKSB-013,Dense Urban,200213,196058,4155,2.08,439,737,2979,2111,1.08,-84.6,No
RKSB-014-1,RKSB-014,Urban,114108,113285,823,0.72,8,13,802,936,0.83,-80.1,No
RKSB-014-2,RKSB-014,Dense Urban,201340,197236,4104,2.04,424,693,2987,5513,2.8,-85.2,No
RKSB-014-3,RKSB-014,Dense Urban,202909,198765,4144,2.04,435,725,2984,2173,1.09,-85.0,No
RKSB-015-1,RKSB-015,Urban,114898,114048,850,0.74,7,11,832,2628,2.3,-80.1,No
RKSB-015-2,RKSB-015,Dense Urban,200700,196556,4144,2.06,419,710,3015,5383,2.74,-85.0,No
RKSB-015-3,RKSB-015,Dense Urban,200050,195893,4157,2.08,440,704,3013,2158,1.1,-84.9,No
RKSB-016-1,RKSB-016,Urban,114138,113299,839,0.74,6,15,818,884,0.78,-80.0,No
RKSB-016-2,RKSB-016,Dense Urban,200213,196170,4043,2.02,412,657,2974,2201,1.12,-84.8,No
RKSB-016-3,RKSB-016,Urban,114859,113981,878,0.76,7,14,857,875,0.77,-80.0,No
RKSB-017-1,RKSB-017,Urban,115530,114643,887,0.77,8,23,856,930,0.81,-80.2,No
RKSB-017-2,RKSB-017,Dense Urban,200326,196177,4149,2.07,455,714,2980,5462,2.78,-85.1,No
RKSB-017-3,RKSB-017,Dense Urban,200536,189573,10963,5.47,2193,3106,5664,2043,1.08,-84.9,Yes
RKSB-018-1,RKSB-018,Dense Urban,201195,197159,4036,2.01,416,688,2932,5525,2.8,-85.1,No
RKSB-018-2,RKSB-018,Urban,113799,112946,853,0.75,9,19,825,2553,2.26,-79.9,No
RKSB-018-3,RKSB-018,Dense Urban,201149,197031,4118,2.05,424,701,2993,2098,1.06,-85.3,No
RKSB-019-1,RKSB-019,Dense Urban,202100,191096,11004,5.44,2132,3172,5700,2080,1.09,-85.1,Yes
RKSB-019-2,RKSB-019,Urban,115189,114289,900,0.78,5,24,871,889,0.78,-79.9,No
RKSB-019-3,RKSB-019,Dense Urban,200298,196096,4202,2.1,439,730,3033,2158,1.1,-84.9,No
RKSB-020-1,RKSB-020,Dense Urban,200905,189701,11204,5.58,2208,3254,5742,2062,1.09,-85.3,Yes
RKSB-020-2,RKSB-020,Urban,113924,113103,821,0.72,5,9,807,922,0.82,-79.9,No
RKSB-020-3,RKSB-020,Dense Urban,202010,197945,4065,2.01,424,685,2956,2143,1.08,-85.0,No
RKSB-021-1,RKSB-021,Urban,114849,114020,829,0.72,6,17,806,942,0.83,-80.0,No
