serving_cell,neighbor_cell,neighbor_rank,distance_m,cell_individual_offset_dB,handover_allowed,relation_type,last_updated
RKSB-001-1,RKSB-001-2,1,0.0,0,Yes,Inter-Frequency,2026-04-01
RKSB-001-1,RKSB-001-3,2,0.0,-2,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-014-1,3,335.7,-4,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-014-2,4,335.7,4,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-014-3,5,335.7,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-005-1,6,551.9,1,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-005-2,7,551.9,4,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-005-3,8,551.9,1,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-006-1,9,695.0,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-006-2,10,695.0,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-006-3,11,695.0,-3,Yes,Intra-Frequency,2026-04-01
RKSB-001-1,RKSB-024-1,12,813.0,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-001-1,1,0.0,6,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-001-3,2,0.0,4,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-014-1,3,335.7,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-014-2,4,335.7,-1,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-014-3,5,335.7,3,Yes,Inter-Frequency,2026-04-01
RKSB-001-2,RKSB-005-1,6,551.9,-1,Yes,Intra-Frequency,2026-04-01
RKSB-001-2,RKSB-005-2,7,551.9,0,Yes,Inter-Frequency,2026-04-01
RKSB-001-2,RKSB-005-3,8,551.9,-3,Yes,Inter-Frequency,2026-04-01
RKSB-001-2,RKSB-006-1,9,695.0,3,Yes,Inter-Frequency,2026-04-01
RKSB-001-3,RKSB-001-1,1,0.0,-4,Yes,Intra-Frequency,2026-04-01
RKSB-001-3,RKSB-001-2,2,0.0,0,Yes,Intra-Frequency,2026-04-01
RKSB-001-3,RKSB-014-1,3,335.7,0,Yes,Inter-Frequency,2026-04-01
RKSB-001-3,RKSB-014-2,4,335.7,6,Yes,Intra-Frequency,2026-04-01
RKSB-001-3,RKSB-014-3,5,335.7,4,Yes,Intra-Frequency,2026-04-01
RKSB-001-3,RKSB-005-1,6,551.9,3,Yes,Inter-Frequency,2026-04-01
RKSB-001-3,RKSB-005-2,7,551.9,4,Yes,Intra-Frequency,2026-04-01
RKSB-001-3,RKSB-005-3,8,551.9,0,Yes,Inter-Frequency,2026-04-01
RKSB-001-3,RKSB-006-1,9,695.0,0,Yes,Inter-Frequency,2026-04-01
RKSB-002-1,RKSB-002-2,1,0.0,6,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-002-3,2,0.0,6,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-019-1,3,450.4,3,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-019-2,4,450.4,4,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-019-3,5,450.4,-2,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-023-1,6,579.7,-1,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-023-2,7,579.7,-6,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-023-3,8,579.7,2,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-024-1,9,620.6,0,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-024-2,10,620.6,6,Yes,Intra-Frequency,2026-04-01
RKSB-002-1,RKSB-024-3,11,620.6,-3,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-002-1,1,0.0,-6,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-002-3,2,0.0,1,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-019-1,3,450.4,-6,Yes,Inter-Frequency,2026-04-01
RKSB-002-2,RKSB-019-2,4,450.4,0,Yes,Inter-Frequency,2026-04-01
RKSB-002-2,RKSB-019-3,5,450.4,0,Yes,Inter-Frequency,2026-04-01
RKSB-002-2,RKSB-023-1,6,579.7,-1,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-023-2,7,579.7,-2,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-023-3,8,579.7,0,Yes,Intra-Frequency,2026-04-01
RKSB-002-2,RKSB-024-1,9,620.6,0,Yes,Inter-Frequency,2026-04-01
