cell_id,enodeb_id,site_name,latitude,longitude,antenna_height_m,sector,azimuth_deg,electrical_tilt_deg,mechanical_tilt_deg,total_tilt_deg,clutter_type,elevation_m,frequency_band,pci,tac,vendor,technology,status
RKSB-001-1,RKSB-001,Shibuya-Site-001,35.662183,139.68735,45,1,357,4,0,4,Dense Urban,60.6,Band 41 (2500MHz),4,12001,Altiostar,LTE,Active
RKSB-001-2,RKSB-001,Shibuya-Site-001,35.662183,139.68735,45,2,112,10,2,12,Dense Urban,21.8,Band 3 (1800MHz),5,12001,Altiostar,LTE,Active
RKSB-001-3,RKSB-001,Shibuya-Site-001,35.662183,139.68735,45,3,237,10,4,14,Dense Urban,53.7,Band 41 (2500MHz),6,12001,Altiostar,LTE,Active
RKSB-002-1,RKSB-002,Shibuya-Site-002,35.662497,139.702948,40,1,4,10,2,12,Dense Urban,65.5,Band 3 (1800MHz),7,12001,Altiostar,LTE,Active
RKSB-002-2,RKSB-002,Shibuya-Site-002,35.662497,139.702948,40,2,123,6,2,8,Dense Urban,32.9,Band 1 (2100MHz),8,12001,Altiostar,LTE,Active
RKSB-002-3,RKSB-002,Shibuya-Site-002,35.662497,139.702948,40,3,233,2,2,4,Dense Urban,41.5,Band 1 (2100MHz),9,12001,Altiostar,LTE,Active
RKSB-003-1,RKSB-003,Shibuya-Site-003,35.661112,139.710814,60,1,7,2,2,4,Dense Urban,53.1,Band 41 (2500MHz),10,12001,Altiostar,LTE,Active
RKSB-003-2,RKSB-003,Shibuya-Site-003,35.661112,139.710814,60,2,129,6,4,10,Dense Urban,62.3,Band 3 (1800MHz),11,12001,Altiostar,LTE,Active
RKSB-003-3,RKSB-003,Shibuya-Site-003,35.661112,139.710814,60,3,237,6,0,6,Dense Urban,72.0,Band 1 (2100MHz),12,12001,Altiostar,LTE,Active
RKSB-004-1,RKSB-004,Shibuya-Site-004,35.651339,139.705671,50,1,355,6,2,8,Dense Urban,60.2,Band 41 (2500MHz),13,12001,Altiostar,LTE,Active
RKSB-004-2,RKSB-004,Shibuya-Site-004,35.651339,139.705671,50,2,130,2,4,6,Dense Urban,52.0,Band 3 (1800MHz),14,12001,Altiostar,LTE,Active
RKSB-004-3,RKSB-004,Shibuya-Site-004,35.651339,139.705671,50,3,235,8,2,10,Dense Urban,79.4,Band 41 (2500MHz),15,12001,Altiostar,LTE,Active
RKSB-005-1,RKSB-005,Shibuya-Site-005,35.663645,139.693188,50,1,351,4,0,4,Dense Urban,44.1,Band 3 (1800MHz),16,12001,Altiostar,LTE,Active
RKSB-005-2,RKSB-005,Shibuya-Site-005,35.663645,139.693188,50,2,116,10,4,14,Dense Urban,32.8,Band 1 (2100MHz),17,12001,Altiostar,LTE,Active
RKSB-005-3,RKSB-005,Shibuya-Site-005,35.663645,139.693188,50,3,242,8,0,8,Dense Urban,28.4,Band 41 (2500MHz),18,12001,Altiostar,LTE,Active
RKSB-006-1,RKSB-006,Shibuya-Site-006,35.659841,139.694482,55,1,8,8,2,10,Dense Urban,79.8,Band 3 (1800MHz),19,12001,Altiostar,LTE,Active
RKSB-006-2,RKSB-006,Shibuya-Site-006,35.659841,139.694482,55,2,126,8,0,8,Dense Urban,71.7,Band 3 (1800MHz),20,12001,Altiostar,LTE,Active
RKSB-006-3,RKSB-006,Shibuya-Site-006,35.659841,139.694482,55,3,250,4,4,8,Urban,55.8,Band 1 (2100MHz),21,12001,Altiostar,LTE,Active
RKSB-007-1,RKSB-007,Shibuya-Site-007,35.654449,139.716484,45,1,7,2,4,6,Dense Urban,60.9,Band 41 (2500MHz),22,12001,Altiostar,LTE,Active
RKSB-007-2,RKSB-007,Shibuya-Site-007,35.654449,139.716484,45,2,118,6,0,6,Dense Urban,46.1,Band 1 (2100MHz),23,12001,Altiostar,LTE,Active
RKSB-007-3,RKSB-007,Shibuya-Site-007,35.654449,139.716484,45,3,230,6,4,10,Dense Urban,50.5,Band 3 (1800MHz),24,12001,Altiostar,LTE,Active
RKSB-008-1,RKSB-008,Shibuya-Site-008,35.669116,139.695553,40,1,354,6,0,6,Urban,77.2,Band 41 (2500MHz),25,12001,Altiostar,LTE,Active
RKSB-008-2,RKSB-008,Shibuya-Site-008,35.669116,139.695553,40,2,110,10,2,12,Urban,21.2,Band 1 (2100MHz),26,12001,Altiostar,LTE,Active
RKSB-008-3,RKSB-008,Shibuya-Site-008,35.669116,139.695553,40,3,239,4,0,4,Dense Urban,72.7,Band 3 (1800MHz),27,12001,Altiostar,LTE,Active
RKSB-009-1,RKSB-009,Shibuya-Site-009,35.64557,139.70118,30,1,7,4,0,4,Urban,76.8,Band 3 (1800MHz),28,12001,Altiostar,LTE,Active
RKSB-009-2,RKSB-009,Shibuya-Site-009,35.64557,139.70118,30,2,118,10,4,14,Urban,77.9,Band 41 (2500MHz),29,12001,Altiostar,LTE,Active
RKSB-009-3,RKSB-009,Shibuya-Site-009,35.64557,139.70118,30,3,236,6,2,8,Dense Urban,46.3,Band 41 (2500MHz),30,12001,Altiostar,LTE,Active
RKSB-010-1,RKSB-010,Shibuya-Site-010,35.656545,139.694037,30,1,0,2,4,6,Urban,33.8,Band 3 (1800MHz),31,12002,Altiostar,LTE,Active
RKSB-010-2,RKSB-010,Shibuya-Site-010,35.656545,139.694037,30,2,110,2,4,6,Dense Urban,33.7,Band 3 (1800MHz),32,12002,Altiostar,LTE,Active
RKSB-010-3,RKSB-010,Shibuya-Site-010,35.656545,139.694037,30,3,240,2,4,6,Dense Urban,36.7,Band 1 (2100MHz),33,12002,Altiostar,LTE,Active
RKSB-011-1,RKSB-011,Shibuya-Site-011,35.649427,139.690569,60,1,357,8,2,10,Dense Urban,25.7,Band 41 (2500MHz),34,12002,Altiostar,LTE,Active
RKSB-011-2,RKSB-011,Shibuya-Site-011,35.649427,139.690569,60,2,123,6,2,8,Urban,48.0,Band 41 (2500MHz),35,12002,Altiostar,LTE,Active
RKSB-011-3,RKSB-011,Shibuya-Site-011,35.649427,139.690569,60,3,231,2,0,2,Urban,63.7,Band 3 (1800MHz),36,12002,Altiostar,LTE,Active
RKSB-012-1,RKSB-012,Shibuya-Site-012,35.65046,139.692306,60,1,354,8,0,8,Dense Urban,47.8,Band 3 (1800MHz),37,12002,Altiostar,LTE,Active
RKSB-012-2,RKSB-012,Shibuya-Site-012,35.65046,139.692306,60,2,124,10,0,10,Dense Urban,59.1,Band 41 (2500MHz),38,12002,Altiostar,LTE,Active
RKSB-012-3,RKSB-012,Shibuya-Site-012,35.65046,139.692306,60,3,230,2,0,2,Dense Urban,44.4,Band 1 (2100MHz),39,12002,Altiostar,LTE,Active
RKSB-013-1,RKSB-013,Shibuya-Site-013,35.649412,139.698631,25,1,355,8,0,8,Urban,35.9,Band 1 (2100MHz),40,12002,Altiostar,LTE,Active
RKSB-013-2,RKSB-013,Shibuya-Site-013,35.649412,139.698631,25,2,119,8,4,12,Urban,59.7,Band 1 (2100MHz),41,12002,Altiostar,LTE,Active
RKSB-013-3,RKSB-013,Shibuya-Site-013,35.649412,139.698631,25,3,234,4,2,6,Dense Urban,78.1,Band 41 (2500MHz),42,12002,Altiostar,LTE,Active
RKSB-014-1,RKSB-014,Shibuya-Site-014,35.665072,139.688429,50,1,351,2,4,6,Urban,50.2,Band 41 (2500MHz),43,12002,Altiostar,LTE,Active
RKSB-014-2,RKSB-014,Shibuya-Site-014,35.665072,139.688429,50,2,115,2,4,6,Dense Urban,71.1,Band 3 (1800MHz),44,12002,Altiostar,LTE,Active
RKSB-014-3,RKSB-014,Shibuya-Site-014,35.665072,139.688429,50,3,249,2,4,6,Dense Urban,44.2,Band 41 (2500MHz),45,12002,Altiostar,LTE,Active
RKSB-015-1,RKSB-015,Shibuya-Site-015,35.650386,139.704436,30,1,3,10,4,14,Urban,39.0,Band 1 (2100MHz),46,12002,Altiostar,LTE,Active
RKSB-015-2,RKSB-015,Shibuya-Site-015,35.650386,139.704436,30,2,116,6,0,6,Dense Urban,43.7,Band 41 (2500MHz),47,12002,Altiostar,LTE,Active
RKSB-015-3,RKSB-015,Shibuya-Site-015,35.650386,139.704436,30,3,250,6,2,8,Dense Urban,75.7,Band 3 (1800MHz),48,12002,Altiostar,LTE,Active
RKSB-016-1,RKSB-016,Shibuya-Site-016,35.643279,139.705235,30,1,352,10,0,10,Urban,35.9,Band 1 (2100MHz),49,12002,Altiostar,LTE,Active
RKSB-016-2,RKSB-016,Shibuya-Site-016,35.643279,139.705235,30,2,112,4,2,6,Dense Urban,29.5,Band 41 (2500MHz),50,12002,Altiostar,LTE,Active
RKSB-016-3,RKSB-016,Shibuya-Site-016,35.643279,139.705235,30,3,239,10,4,14,Urban,20.5,Band 41 (2500MHz),51,12002,Altiostar,LTE,Active
RKSB-017-1,RKSB-017,Shibuya-Site-017,35.651981,139.706502,35,1,358,2,0,2,Urban,29.3,Band 1 (2100MHz),52,12002,Altiostar,LTE,Active
RKSB-017-2,RKSB-017,Shibuya-Site-017,35.651981,139.706502,35,2,129,4,4,8,Dense Urban,32.2,Band 41 (2500MHz),53,12002,Altiostar,LTE,Active
RKSB-017-3,RKSB-017,Shibuya-Site-017,35.651981,139.706502,35,3,238,10,2,12,Dense Urban,74.3,Band 3 (1800MHz),54,12002,Altiostar,LTE,Active
RKSB-018-1,RKSB-018,Shibuya-Site-018,35.645769,139.699307,45,1,351,2,2,4,Dense Urban,58.2,Band 1 (2100MHz),55,12002,Altiostar,LTE,Active
RKSB-018-2,RKSB-018,Shibuya-Site-018,35.645769,139.699307,45,2,115,8,4,12,Urban,53.7,Band 3 (1800MHz),56,12002,Altiostar,LTE,Active
RKSB-018-3,RKSB-018,Shibuya-Site-018,35.645769,139.699307,45,3,232,4,4,8,Dense Urban,70.1,Band 41 (2500MHz),57,12002,Altiostar,LTE,Active
RKSB-019-1,RKSB-019,Shibuya-Site-019,35.659576,139.699494,25,1,359,6,0,6,Dense Urban,32.6,Band 3 (1800MHz),58,12002,Altiostar,LTE,Active
RKSB-019-2,RKSB-019,Shibuya-Site-019,35.659576,139.699494,25,2,113,6,4,10,Urban,78.4,Band 41 (2500MHz),59,12002,Altiostar,LTE,Active
RKSB-019-3,RKSB-019,Shibuya-Site-019,35.659576,139.699494,25,3,234,4,0,4,Dense Urban,72.9,Band 3 (1800MHz),60,12002,Altiostar,LTE,Active
RKSB-020-1,RKSB-020,Shibuya-Site-020,35.648381,139.714335,55,1,357,6,0,6,Dense Urban,43.0,Band 3 (1800MHz),61,12003,Altiostar,LTE,Active
RKSB-020-2,RKSB-020,Shibuya-Site-020,35.648381,139.714335,55,2,125,4,0,4,Urban,41.0,Band 3 (1800MHz),62,12003,Altiostar,LTE,Active
RKSB-020-3,RKSB-020,Shibuya-Site-020,35.648381,139.714335,55,3,237,2,4,6,Dense Urban,43.9,Band 1 (2100MHz),63,12003,Altiostar,LTE,Active
RKSB-021-1,RKSB-021,Shibuya-Site-021,35.668931,139.715607,45,1,1,10,2,12,Urban,39.9,Band 3 (1800MHz),64,12003,Altiostar,LTE,Active
