source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
HELS-005-2,HELS-002-2,-4.6,-4.6,0.0,0.0,98.09,98.09,unchanged
HELS-012-3,HELS-012-2,-2.8,-2.8,0.0,0.0,98.03,98.03,unchanged
HELS-001-2,HELS-007-3,4.2,4.2,0.0,0.0,98.02,98.02,unchanged
HELS-009-2,HELS-002-1,1.9,1.9,0.0,0.0,98.01,98.01,unchanged
HELS-008-1,HELS-001-1,5.2,5.2,0.0,0.0,97.98,97.98,unchanged
HELS-012-3,HELS-011-2,3.2,3.2,0.0,0.0,97.95,97.95,unchanged
HELS-005-2,HELS-014-3,-4.8,-4.8,0.0,0.0,97.92,97.92,unchanged
HELS-008-2,HELS-007-3,3.9,3.9,0.0,0.0,97.91,97.91,unchanged
HELS-010-1,HELS-007-1,-4.4,-4.4,0.0,0.0,97.82,97.82,unchanged
HELS-012-3,HELS-012-1,1.8,1.8,0.0,0.0,97.82,97.82,unchanged
HELS-005-2,HELS-006-2,-4.9,-4.9,0.0,0.0,97.78,97.78,unchanged
HELS-009-2,HELS-002-2,0.7,0.7,0.0,0.0,97.75,97.75,unchanged
HELS-014-3,HELS-014-1,4.4,4.4,0.0,0.0,97.72,97.72,unchanged
HELS-002-3,HELS-002-1,4.9,4.9,0.0,0.0,97.71,97.71,unchanged
HELS-005-2,HELS-005-3,-4.8,-4.8,0.0,0.0,97.71,97.71,unchanged
HELS-011-3,HELS-008-1,0.2,0.2,0.0,0.0,97.7,97.7,unchanged
HELS-008-3,HELS-007-2,-1.9,-1.9,0.0,0.0,97.69,97.69,unchanged
HELS-008-1,HELS-007-2,-2.3,-2.3,0.0,0.0,97.68,97.68,unchanged
HELS-007-2,HELS-008-1,-2.2,-2.2,0.0,0.0,97.67,97.67,unchanged
HELS-009-2,HELS-003-1,-5.2,-5.2,0.0,0.0,97.67,97.67,unchanged
HELS-004-2,HELS-008-1,1.6,1.6,0.0,0.0,97.66,97.66,unchanged
HELS-014-2,HELS-014-1,-2.6,-2.6,0.0,0.0,97.65,97.65,unchanged
HELS-004-1,HELS-008-2,-0.8,-0.8,0.0,0.0,97.61,97.61,unchanged
HELS-002-2,HELS-002-1,4.9,4.9,0.0,0.0,97.61,97.61,unchanged
HELS-005-2,HELS-006-3,2.2,2.2,0.0,0.0,97.6,97.6,unchanged
HELS-001-1,HELS-008-2,4.3,4.3,0.0,0.0,97.6,97.6,unchanged
HELS-005-2,HELS-002-1,1.4,1.4,0.0,0.0,97.58,97.58,unchanged
HELS-004-2,HELS-001-2,-1.8,-1.8,0.0,0.0,97.58,97.58,unchanged
HELS-007-2,HELS-008-3,3.1,3.1,0.0,0.0,97.57,97.57,unchanged
HELS-012-3,HELS-007-3,-3.9,-3.9,0.0,0.0,97.56,97.56,unchanged
HELS-010-3,HELS-010-1,-2.6,-2.6,0.0,0.0,97.55,97.55,unchanged
HELS-012-1,HELS-011-3,2.4,2.4,0.0,0.0,97.55,97.55,unchanged
HELS-007-1,HELS-001-2,3.3,3.3,0.0,0.0,97.55,97.55,unchanged
HELS-008-1,HELS-007-1,1.9,1.9,0.0,0.0,97.52,97.52,unchanged
HELS-001-1,HELS-008-3,-1.7,-1.7,0.0,0.0,97.52,97.52,unchanged
HELS-014-3,HELS-007-1,-3.3,-3.3,0.0,0.0,97.51,97.51,unchanged
HELS-005-3,HELS-014-3,-1.8,-1.8,0.0,0.0,97.5,97.5,unchanged
HELS-012-1,HELS-013-1,5.4,5.4,0.0,0.0,97.49,97.49,unchanged
HELS-009-2,HELS-003-3,0.3,0.3,0.0,0.0,97.47,97.47,unchanged
HELS-002-3,HELS-003-2,1.2,1.2,0.0,0.0,97.47,97.47,unchanged
HELS-004-2,HELS-010-1,1.6,1.6,0.0,0.0,97.47,97.47,unchanged
HELS-001-2,HELS-008-1,2.6,2.6,0.0,0.0,97.46,97.46,unchanged
HELS-001-1,HELS-001-3,3.2,3.2,0.0,0.0,97.46,97.46,unchanged
HELS-005-3,HELS-005-1,-3.3,-3.3,0.0,0.0,97.46,97.46,unchanged
HELS-010-1,HELS-010-2,0.7,0.7,0.0,0.0,97.41,97.41,unchanged
HELS-009-2,HELS-009-3,5.2,5.2,0.0,0.0,97.41,97.41,unchanged
HELS-005-2,HELS-014-1,4.7,4.7,0.0,0.0,97.41,97.41,unchanged
HELS-012-3,HELS-007-2,0.7,0.7,0.0,0.0,97.41,97.41,unchanged
HELS-007-2,HELS-001-2,3.9,3.9,0.0,0.0,97.4,97.4,unchanged
HELS-005-3,HELS-006-1,3.6,3.6,0.0,0.0,97.39,97.39,unchanged
HELS-005-2,HELS-005-1,-2.6,-2.6,0.0,0.0,97.38,97.38,unchanged
HELS-004-1,HELS-001-1,-2.4,-2.4,0.0,0.0,97.37,97.37,unchanged
HELS-009-2,HELS-002-3,-1.6,-1.6,0.0,0.0,97.37,97.37,unchanged
HELS-010-3,HELS-001-1,3.4,3.4,0.0,0.0,97.37,97.37,unchanged
HELS-014-3,HELS-008-3,-0.3,-0.3,0.0,0.0,97.37,97.37,unchanged
HELS-011-3,HELS-007-2,-1.6,-1.6,0.0,0.0,97.36,97.36,unchanged
HELS-011-3,HELS-007-3,-5.3,-5.3,0.0,0.0,97.36,97.36,unchanged
HELS-014-2,HELS-008-2,-2.6,-2.6,0.0,0.0,97.35,97.35,unchanged
HELS-007-1,HELS-001-3,2.8,2.8,0.0,0.0,97.35,97.35,unchanged
HELS-009-3,HELS-002-2,-1.1,-1.1,0.0,0.0,97.34,97.34,unchanged
HELS-014-3,HELS-007-2,5.6,5.6,0.0,0.0,97.34,97.34,unchanged
HELS-006-3,HELS-006-1,5.4,5.4,0.0,0.0,97.34,97.34,unchanged
HELS-007-1,HELS-008-2,-2.6,-2.6,0.0,0.0,97.33,97.33,unchanged
HELS-004-1,HELS-010-2,-2.9,-2.9,0.0,0.0,97.33,97.33,unchanged
HELS-014-3,HELS-008-1,0.7,0.7,0.0,0.0,97.33,97.33,unchanged
HELS-010-1,HELS-004-2,-3.1,-3.1,0.0,0.0,97.33,97.33,unchanged
HELS-008-1,HELS-008-3,-3.6,-3.6,0.0,0.0,97.33,97.33,unchanged
HELS-010-3,HELS-004-1,5.6,5.6,0.0,0.0,97.33,97.33,unchanged
HELS-004-2,HELS-010-3,1.2,1.2,0.0,0.0,97.32,97.32,unchanged
HELS-001-2,HELS-008-2,-4.4,-4.4,0.0,0.0,97.32,97.32,unchanged
HELS-006-2,HELS-002-2,-3.4,-3.4,0.0,0.0,97.32,97.32,unchanged
HELS-006-3,HELS-002-2,3.1,3.1,0.0,0.0,97.31,97.31,unchanged
HELS-002-3,HELS-003-3,1.2,1.2,0.0,0.0,97.31,97.31,unchanged
HELS-006-2,HELS-002-1,-2.6,-2.6,0.0,0.0,97.3,97.3,unchanged
HELS-013-3,HELS-014-1,2.1,2.1,0.0,0.0,97.29,97.29,unchanged
HELS-012-1,HELS-007-1,-2.4,-2.4,0.0,0.0,97.28,97.28,unchanged
HELS-007-3,HELS-007-1,5.9,5.9,0.0,0.0,97.28,97.28,unchanged
HELS-008-2,HELS-008-1,4.3,4.3,0.0,0.0,97.27,97.27,unchanged
HELS-008-2,HELS-014-3,-0.8,-0.8,0.0,0.0,97.26,97.26,unchanged
HELS-010-1,HELS-001-2,-5.4,-5.4,0.0,0.0,97.25,97.25,unchanged
HELS-005-2,HELS-014-2,-4.3,-4.3,0.0,0.0,97.23,97.23,unchanged
HELS-007-3,HELS-001-3,0.4,0.4,0.0,0.0,97.23,97.23,unchanged
HELS-008-1,HELS-001-2,2.8,2.8,0.0,0.0,97.22,97.22,unchanged
HELS-001-2,HELS-008-3,4.4,4.4,0.0,0.0,97.22,97.22,unchanged
HELS-008-1,HELS-008-2,0.7,0.7,0.0,0.0,97.21,97.21,unchanged
HELS-007-3,HELS-014-3,-3.9,-3.9,0.0,0.0,97.21,97.21,unchanged
HELS-011-3,HELS-012-3,1.1,1.1,0.0,0.0,97.2,97.2,unchanged
HELS-014-2,HELS-001-2,-1.9,-1.9,0.0,0.0,97.2,97.2,unchanged
