source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
HELS-004-3,HELS-004-2,0.6,0.6,0.0,0.0,98.38,98.38,unchanged
HELS-011-1,HELS-013-3,3.1,3.1,0.0,0.0,98.1,98.1,unchanged
HELS-003-1,HELS-003-3,1.6,1.6,0.0,0.0,98.08,98.08,unchanged
HELS-002-2,HELS-002-1,0.8,0.8,0.0,0.0,98.04,98.04,unchanged
HELS-004-3,HELS-008-2,3.3,3.3,0.0,0.0,98.02,98.02,unchanged
HELS-002-2,HELS-014-1,-2.8,-2.8,0.0,0.0,97.95,97.95,unchanged
HELS-011-1,HELS-002-2,-4.6,-4.6,0.0,0.0,97.93,97.93,unchanged
HELS-011-3,HELS-003-1,-2.3,-2.3,0.0,0.0,97.9,97.9,unchanged
HELS-004-3,HELS-004-1,2.4,2.4,0.0,0.0,97.89,97.89,unchanged
HELS-011-3,HELS-013-3,-2.6,-2.6,0.0,0.0,97.87,97.87,unchanged
HELS-002-3,HELS-014-2,1.1,1.1,0.0,0.0,97.87,97.87,unchanged
HELS-006-1,HELS-010-1,-2.7,-2.7,0.0,0.0,97.87,97.87,unchanged
HELS-003-1,HELS-011-3,5.3,5.3,0.0,0.0,97.86,97.86,unchanged
HELS-005-3,HELS-006-1,0.6,0.6,0.0,0.0,97.85,97.85,unchanged
HELS-011-3,HELS-013-1,3.4,3.4,0.0,0.0,97.83,97.83,unchanged
HELS-009-2,HELS-014-1,-5.8,-5.8,0.0,0.0,97.81,97.81,unchanged
HELS-004-1,HELS-008-2,5.6,5.6,0.0,0.0,97.78,97.78,unchanged
HELS-006-1,HELS-006-2,2.6,2.6,0.0,0.0,97.78,97.78,unchanged
HELS-003-1,HELS-002-2,3.1,3.1,0.0,0.0,97.77,97.77,unchanged
HELS-003-3,HELS-002-3,4.9,4.9,0.0,0.0,97.77,97.77,unchanged
HELS-012-3,HELS-002-1,1.3,1.3,0.0,0.0,97.76,97.76,unchanged
HELS-009-2,HELS-006-2,-0.3,-0.3,0.0,0.0,97.75,97.75,unchanged
HELS-011-1,HELS-002-3,5.2,5.2,0.0,0.0,97.74,97.74,unchanged
HELS-011-3,HELS-002-2,3.4,3.4,0.0,0.0,97.74,97.74,unchanged
HELS-006-2,HELS-006-1,-1.4,-1.4,0.0,0.0,97.74,97.74,unchanged
HELS-005-2,HELS-006-3,-3.2,-3.2,0.0,0.0,97.71,97.71,unchanged
HELS-006-3,HELS-007-1,4.8,4.8,0.0,0.0,97.7,97.7,unchanged
HELS-007-3,HELS-005-1,-2.8,-2.8,0.0,0.0,97.67,97.67,unchanged
HELS-002-3,HELS-013-2,0.1,0.1,0.0,0.0,97.66,97.66,unchanged
