source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
HELS-013-2,HELS-012-1,4.2,4.2,0.0,0.0,98.14,98.14,unchanged
HELS-005-2,HELS-001-3,-3.8,-3.8,0.0,0.0,98.11,98.11,unchanged
HELS-011-3,HELS-006-2,-4.9,-4.9,0.0,0.0,98.08,98.08,unchanged
HELS-008-3,HELS-014-1,-1.9,-1.9,0.0,0.0,98.08,98.08,unchanged
HELS-003-1,HELS-004-2,-1.1,-1.1,0.0,0.0,97.97,97.97,unchanged
HELS-004-3,HELS-002-1,-5.6,-5.6,0.0,0.0,97.96,97.96,unchanged
HELS-011-3,HELS-006-1,-1.8,-1.8,0.0,0.0,97.95,97.95,unchanged
HELS-008-1,HELS-008-3,4.2,4.2,0.0,0.0,97.93,97.93,unchanged
HELS-008-3,HELS-007-3,0.9,0.9,0.0,0.0,97.92,97.92,unchanged
HELS-002-3,HELS-011-1,-3.7,-3.7,0.0,0.0,97.9,97.9,unchanged
HELS-011-3,HELS-011-1,-5.9,-5.9,0.0,0.0,97.88,97.88,unchanged
HELS-006-1,HELS-006-2,4.2,4.2,0.0,0.0,97.86,97.86,unchanged
HELS-005-3,HELS-011-2,-4.1,-4.1,0.0,0.0,97.85,97.85,unchanged
HELS-006-1,HELS-009-2,-2.4,-2.4,0.0,0.0,97.85,97.85,unchanged
HELS-011-1,HELS-006-2,0.8,0.8,0.0,0.0,97.84,97.84,unchanged
HELS-002-2,HELS-011-3,4.7,4.7,0.0,0.0,97.84,97.84,unchanged
HELS-004-1,HELS-004-3,-1.4,-1.4,0.0,0.0,97.83,97.83,unchanged
HELS-011-3,HELS-011-2,1.9,1.9,0.0,0.0,97.8,97.8,unchanged
HELS-010-3,HELS-005-2,2.6,2.6,0.0,0.0,97.79,97.79,unchanged
HELS-007-2,HELS-006-3,0.4,0.4,0.0,0.0,97.79,97.79,unchanged
HELS-003-1,HELS-001-2,4.3,4.3,0.0,0.0,97.79,97.79,unchanged
HELS-008-1,HELS-014-3,-5.4,-5.4,0.0,0.0,97.77,97.77,unchanged
HELS-004-1,HELS-003-3,-3.2,-3.2,0.0,0.0,97.77,97.77,unchanged
HELS-014-3,HELS-009-1,0.7,0.7,0.0,0.0,97.77,97.77,unchanged
HELS-010-3,HELS-001-3,-2.7,-2.7,0.0,0.0,97.76,97.76,unchanged
HELS-008-3,HELS-007-1,3.2,3.2,0.0,0.0,97.76,97.76,unchanged
HELS-001-1,HELS-005-1,-2.4,-2.4,0.0,0.0,97.75,97.75,unchanged
HELS-008-1,HELS-007-1,-3.1,-3.1,0.0,0.0,97.75,97.75,unchanged
HELS-006-2,HELS-001-3,-3.2,-3.2,0.0,0.0,97.74,97.74,unchanged
HELS-001-1,HELS-010-1,-4.8,-4.8,0.0,0.0,97.74,97.74,unchanged
HELS-002-3,HELS-004-3,0.6,0.6,0.0,0.0,97.73,97.73,unchanged
HELS-002-2,HELS-004-2,2.9,2.9,0.0,0.0,97.72,97.72,unchanged
HELS-013-1,HELS-002-3,-2.2,-2.2,0.0,0.0,97.72,97.72,unchanged
HELS-008-3,HELS-014-3,1.8,1.8,0.0,0.0,97.72,97.72,unchanged
HELS-006-1,HELS-009-1,-0.7,-0.7,0.0,0.0,97.7,97.7,unchanged
HELS-004-1,HELS-003-1,-5.9,-5.9,0.0,0.0,97.7,97.7,unchanged
HELS-011-3,HELS-001-3,-0.7,-0.7,0.0,0.0,97.67,97.67,unchanged
HELS-006-1,HELS-011-3,-2.9,-2.9,0.0,0.0,97.67,97.67,unchanged
HELS-008-3,HELS-014-2,-4.3,-4.3,0.0,0.0,97.66,97.66,unchanged
HELS-013-2,HELS-004-2,4.9,4.9,0.0,0.0,97.65,97.65,unchanged
HELS-001-1,HELS-005-2,1.9,1.9,0.0,0.0,97.65,97.65,unchanged
HELS-014-3,HELS-007-1,-3.6,-3.6,0.0,0.0,97.64,97.64,unchanged
HELS-004-3,HELS-001-3,4.9,4.9,0.0,0.0,97.64,97.64,unchanged
HELS-007-3,HELS-009-2,-0.2,-0.2,0.0,0.0,97.64,97.64,unchanged
HELS-007-3,HELS-009-1,4.3,4.3,0.0,0.0,97.64,97.64,unchanged
HELS-014-3,HELS-014-1,3.2,3.2,0.0,0.0,97.63,97.63,unchanged
HELS-008-3,HELS-008-2,4.3,4.3,0.0,0.0,97.62,97.62,unchanged
HELS-010-1,HELS-005-2,-3.3,-3.3,0.0,0.0,97.61,97.61,unchanged
HELS-005-3,HELS-010-2,-2.7,-2.7,0.0,0.0,97.61,97.61,unchanged
HELS-004-1,HELS-002-2,2.8,2.8,0.0,0.0,97.6,97.6,unchanged
HELS-006-2,HELS-011-2,-4.6,-4.6,0.0,0.0,97.57,97.57,unchanged
HELS-004-1,HELS-002-3,-5.8,-5.8,0.0,0.0,97.57,97.57,unchanged
HELS-007-2,HELS-007-3,1.3,1.3,0.0,0.0,97.56,97.56,unchanged
HELS-006-1,HELS-009-3,3.4,3.4,0.0,0.0,97.56,97.56,unchanged
HELS-007-2,HELS-006-2,2.8,2.8,0.0,0.0,97.56,97.56,unchanged
HELS-003-1,HELS-001-3,-5.7,-5.7,0.0,0.0,97.56,97.56,unchanged
HELS-005-3,HELS-005-2,-3.1,-3.1,0.0,0.0,97.55,97.55,unchanged
HELS-002-3,HELS-004-2,3.2,3.2,0.0,0.0,97.55,97.55,unchanged
HELS-010-3,HELS-005-3,0.4,0.4,0.0,0.0,97.55,97.55,unchanged
HELS-004-3,HELS-004-1,5.7,5.7,0.0,0.0,97.54,97.54,unchanged
HELS-011-1,HELS-005-1,1.6,1.6,0.0,0.0,97.54,97.54,unchanged
HELS-003-2,HELS-004-3,0.3,0.3,0.0,0.0,97.54,97.54,unchanged
HELS-008-3,HELS-008-1,1.4,1.4,0.0,0.0,97.53,97.53,unchanged
HELS-003-1,HELS-004-3,4.1,4.1,0.0,0.0,97.53,97.53,unchanged
HELS-002-3,HELS-001-2,5.9,5.9,0.0,0.0,97.52,97.52,unchanged
HELS-010-1,HELS-010-3,-2.7,-2.7,0.0,0.0,97.52,97.52,unchanged
HELS-004-2,HELS-002-1,-2.2,-2.2,0.0,0.0,97.51,97.51,unchanged
HELS-006-2,HELS-011-3,-0.3,-0.3,0.0,0.0,97.51,97.51,unchanged
HELS-004-2,HELS-002-3,2.1,2.1,0.0,0.0,97.51,97.51,unchanged
HELS-013-1,HELS-013-3,-1.3,-1.3,0.0,0.0,97.51,97.51,unchanged
HELS-006-1,HELS-011-1,-2.6,-2.6,0.0,0.0,97.51,97.51,unchanged
HELS-001-1,HELS-011-1,-3.3,-3.3,0.0,0.0,97.5,97.5,unchanged
