source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
HELS-004-1,HELS-009-3,-4.8,-4.8,0.0,0.0,96.93,96.93,unchanged
HELS-004-1,HELS-010-1,1.8,1.8,0.0,0.0,96.75,96.75,unchanged
HELS-011-1,HELS-008-1,-3.8,-3.8,0.0,0.0,96.74,96.74,unchanged
HELS-002-3,HELS-005-1,0.6,0.6,0.0,0.0,96.73,96.73,unchanged
HELS-004-1,HELS-010-3,-4.9,-4.9,0.0,0.0,96.66,96.66,unchanged
HELS-005-1,HELS-007-2,-0.2,-0.2,0.0,0.0,96.6,96.6,unchanged
HELS-006-1,HELS-001-3,-4.6,-4.6,0.0,0.0,96.6,96.6,unchanged
HELS-007-2,HELS-007-1,-3.8,-3.8,0.0,0.0,96.56,96.56,unchanged
HELS-008-1,HELS-012-1,3.6,3.6,0.0,0.0,96.52,96.52,unchanged
HELS-003-3,HELS-014-1,-2.6,-2.6,0.0,0.0,96.49,96.49,unchanged
HELS-012-3,HELS-014-2,-5.3,-5.3,0.0,0.0,96.48,96.48,unchanged
HELS-008-1,HELS-012-3,5.1,5.1,0.0,0.0,96.46,96.46,unchanged
HELS-008-1,HELS-007-3,-3.6,-3.6,0.0,0.0,96.44,96.44,unchanged
HELS-010-2,HELS-012-3,-4.8,-4.8,0.0,0.0,96.41,96.41,unchanged
HELS-012-2,HELS-014-2,2.6,2.6,0.0,0.0,96.4,96.4,unchanged
HELS-013-1,HELS-002-2,-4.3,-4.3,0.0,0.0,96.38,96.38,unchanged
HELS-004-3,HELS-010-3,-4.7,-4.7,0.0,0.0,96.36,96.36,unchanged
HELS-002-3,HELS-002-2,-0.1,-0.1,0.0,0.0,96.35,96.35,unchanged
HELS-007-3,HELS-012-1,2.7,2.7,0.0,0.0,96.35,96.35,unchanged
HELS-007-2,HELS-008-3,4.1,4.1,0.0,0.0,96.33,96.33,unchanged
HELS-002-1,HELS-005-2,-2.7,-2.7,0.0,0.0,96.3,96.3,unchanged
HELS-004-1,HELS-004-3,4.8,4.8,0.0,0.0,96.29,96.29,unchanged
HELS-004-1,HELS-009-1,-5.4,-5.4,0.0,0.0,96.29,96.29,unchanged
HELS-002-1,HELS-014-2,2.8,2.8,0.0,0.0,96.28,96.28,unchanged
HELS-010-2,HELS-009-3,-0.4,-0.4,0.0,0.0,96.25,96.25,unchanged
HELS-013-2,HELS-005-2,-5.2,-5.2,0.0,0.0,96.25,96.25,unchanged
HELS-013-2,HELS-013-3,0.8,0.8,0.0,0.0,96.21,96.21,unchanged
HELS-002-3,HELS-014-2,-0.1,-0.1,0.0,0.0,96.21,96.21,unchanged
HELS-004-2,HELS-004-3,4.4,4.4,0.0,0.0,96.21,96.21,unchanged
HELS-013-2,HELS-003-2,-3.6,-3.6,0.0,0.0,96.2,96.2,unchanged
HELS-011-1,HELS-007-3,-0.4,-0.4,0.0,0.0,96.2,96.2,unchanged
HELS-010-2,HELS-001-3,4.2,4.2,0.0,0.0,96.2,96.2,unchanged
HELS-013-1,HELS-002-1,1.4,1.4,0.0,0.0,96.18,96.18,unchanged
HELS-005-1,HELS-007-1,4.8,4.8,0.0,0.0,96.17,96.17,unchanged
HELS-008-3,HELS-014-3,1.8,1.8,0.0,0.0,96.12,96.12,unchanged
HELS-005-1,HELS-002-1,-2.3,-2.3,0.0,0.0,96.11,96.11,unchanged
HELS-006-2,HELS-001-3,4.1,4.1,0.0,0.0,96.11,96.11,unchanged
HELS-003-3,HELS-002-1,-1.1,-1.1,0.0,0.0,96.11,96.11,unchanged
HELS-004-2,HELS-009-3,-5.8,-5.8,0.0,0.0,96.09,96.09,unchanged
HELS-005-1,HELS-005-3,-2.6,-2.6,0.0,0.0,96.09,96.09,unchanged
HELS-003-3,HELS-006-1,-1.6,-1.6,0.0,0.0,96.06,96.06,unchanged
HELS-006-1,HELS-006-3,0.9,0.9,0.0,0.0,96.03,96.03,unchanged
HELS-006-1,HELS-014-3,-1.4,-1.4,0.0,0.0,96.03,96.03,unchanged
HELS-013-1,HELS-003-3,1.3,1.3,0.0,0.0,96.03,96.03,unchanged
HELS-003-3,HELS-002-2,3.7,3.7,0.0,0.0,96.01,96.01,unchanged
HELS-006-3,HELS-014-1,4.1,4.1,0.0,0.0,96.0,96.0,unchanged
HELS-004-1,HELS-010-2,4.6,4.6,0.0,0.0,95.99,95.99,unchanged
HELS-001-2,HELS-009-1,-1.8,-1.8,0.0,0.0,95.99,95.99,unchanged
HELS-007-1,HELS-005-1,1.2,1.2,0.0,0.0,95.97,95.97,unchanged
HELS-009-3,HELS-010-3,5.6,5.6,0.0,0.0,95.96,95.96,unchanged
HELS-013-1,HELS-013-2,4.4,4.4,0.0,0.0,95.96,95.96,unchanged
HELS-013-1,HELS-005-1,5.6,5.6,0.0,0.0,95.96,95.96,unchanged
HELS-007-1,HELS-008-3,4.8,4.8,0.0,0.0,95.95,95.95,unchanged
HELS-007-2,HELS-008-1,1.9,1.9,0.0,0.0,95.94,95.94,unchanged
HELS-006-1,HELS-014-1,-3.4,-3.4,0.0,0.0,95.93,95.93,unchanged
HELS-004-1,HELS-004-2,0.7,0.7,0.0,0.0,95.92,95.92,unchanged
HELS-008-1,HELS-007-1,-1.1,-1.1,0.0,0.0,95.92,95.92,unchanged
HELS-012-2,HELS-012-1,4.3,4.3,0.0,0.0,95.91,95.91,unchanged
HELS-008-3,HELS-012-3,2.1,2.1,0.0,0.0,95.91,95.91,unchanged
HELS-006-3,HELS-001-2,3.2,3.2,0.0,0.0,95.91,95.91,unchanged
HELS-007-3,HELS-008-3,-4.3,-4.3,0.0,0.0,95.91,95.91,unchanged
HELS-007-3,HELS-012-3,1.9,1.9,0.0,0.0,95.9,95.9,unchanged
HELS-001-2,HELS-012-2,-2.7,-2.7,0.0,0.0,95.89,95.89,unchanged
HELS-008-3,HELS-007-3,5.3,5.3,0.0,0.0,95.89,95.89,unchanged
HELS-006-2,HELS-012-3,-4.8,-4.8,0.0,0.0,95.88,95.88,unchanged
HELS-006-2,HELS-014-1,-2.2,-2.2,0.0,0.0,95.88,95.88,unchanged
HELS-002-3,HELS-013-1,5.8,5.8,0.0,0.0,95.87,95.87,unchanged
HELS-008-2,HELS-008-3,1.4,1.4,0.0,0.0,95.87,95.87,unchanged
HELS-010-2,HELS-010-3,-1.8,-1.8,0.0,0.0,95.86,95.86,unchanged
HELS-012-2,HELS-008-1,-1.4,-1.4,0.0,0.0,95.86,95.86,unchanged
HELS-006-3,HELS-006-2,-1.8,-1.8,0.0,0.0,95.86,95.86,unchanged
HELS-001-2,HELS-012-3,0.9,0.9,0.0,0.0,95.85,95.85,unchanged
HELS-014-3,HELS-006-3,1.7,1.7,0.0,0.0,95.85,95.85,unchanged
HELS-007-1,HELS-007-2,-1.4,-1.4,0.0,0.0,95.84,95.84,unchanged
HELS-004-2,HELS-010-2,-3.6,-3.6,0.0,0.0,95.84,95.84,unchanged
HELS-001-1,HELS-001-2,-0.1,-0.1,0.0,0.0,95.83,95.83,unchanged
HELS-010-1,HELS-012-3,-5.4,-5.4,0.0,0.0,95.83,95.83,unchanged
HELS-011-2,HELS-011-3,-1.9,-1.9,0.0,0.0,95.83,95.83,unchanged
HELS-008-3,HELS-014-2,-3.1,-3.1,0.0,0.0,95.8,95.8,unchanged
HELS-012-3,HELS-001-2,-2.7,-2.7,0.0,0.0,95.8,95.8,unchanged
HELS-002-1,HELS-014-3,4.7,4.7,0.0,0.0,95.8,95.8,unchanged
HELS-009-2,HELS-001-2,-5.6,-5.6,0.0,0.0,95.79,95.79,unchanged
HELS-011-2,HELS-005-3,-5.2,-5.2,0.0,0.0,95.78,95.78,unchanged
HELS-001-2,HELS-006-1,1.8,1.8,0.0,0.0,95.78,95.78,unchanged
