source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
RJPN-002-1,RJPN-009-2,-2.1,-2.1,0.0,0.0,97.23,97.23,unchanged
RJPN-009-3,RJPN-010-2,-5.8,-5.8,0.0,0.0,96.74,96.74,unchanged
RJPN-006-1,RJPN-003-3,-3.8,-3.8,0.0,0.0,96.73,96.73,unchanged
RJPN-002-1,RJPN-002-2,4.6,4.6,0.0,0.0,96.67,96.67,unchanged
RJPN-009-3,RJPN-004-1,-0.3,-0.3,0.0,0.0,96.65,96.65,unchanged
RJPN-002-1,RJPN-007-3,5.4,5.4,0.0,0.0,96.57,96.57,unchanged
RJPN-005-2,RJPN-008-1,5.1,5.1,0.0,0.0,96.47,96.47,unchanged
RJPN-005-2,RJPN-001-3,1.9,1.9,0.0,0.0,96.43,96.43,unchanged
RJPN-002-1,RJPN-007-2,5.2,5.2,0.0,0.0,96.4,96.4,unchanged
RJPN-006-1,RJPN-004-1,-0.8,-0.8,0.0,0.0,96.38,96.38,unchanged
RJPN-005-2,RJPN-005-3,4.1,4.1,0.0,0.0,96.37,96.37,unchanged
RJPN-002-1,RJPN-007-1,-1.4,-1.4,0.0,0.0,96.37,96.37,unchanged
RJPN-006-1,RJPN-004-2,-0.7,-0.7,0.0,0.0,96.35,96.35,unchanged
RJPN-009-3,RJPN-004-3,4.3,4.3,0.0,0.0,96.34,96.34,unchanged
RJPN-009-1,RJPN-002-2,-0.9,-0.9,0.0,0.0,96.32,96.32,unchanged
RJPN-005-2,RJPN-001-2,-0.6,-0.6,0.0,0.0,96.27,96.27,unchanged
RJPN-005-2,RJPN-008-2,2.7,2.7,0.0,0.0,96.25,96.25,unchanged
RJPN-008-1,RJPN-002-1,-0.4,-0.4,0.0,0.0,96.23,96.23,unchanged
RJPN-001-2,RJPN-007-2,-3.1,-3.1,0.0,0.0,96.18,96.18,unchanged
RJPN-003-3,RJPN-003-2,5.4,5.4,0.0,0.0,96.17,96.17,unchanged
RJPN-006-1,RJPN-004-3,0.7,0.7,0.0,0.0,96.14,96.14,unchanged
RJPN-002-3,RJPN-001-3,-0.9,-0.9,0.0,0.0,96.12,96.12,unchanged
RJPN-002-1,RJPN-009-3,3.8,3.8,0.0,0.0,96.07,96.07,unchanged
RJPN-005-2,RJPN-008-3,1.6,1.6,0.0,0.0,96.04,96.04,unchanged
RJPN-002-1,RJPN-002-3,-4.9,-4.9,0.0,0.0,96.01,96.01,unchanged
RJPN-003-3,RJPN-004-2,-0.8,-0.8,0.0,0.0,95.95,95.95,unchanged
RJPN-005-1,RJPN-002-2,-1.9,-1.9,0.0,0.0,95.93,95.93,unchanged
RJPN-006-1,RJPN-003-2,3.8,3.8,0.0,0.0,95.86,95.86,unchanged
RJPN-003-3,RJPN-006-1,4.1,4.1,0.0,0.0,95.84,95.84,unchanged
RJPN-006-1,RJPN-011-1,5.7,5.7,0.0,0.0,95.8,95.8,unchanged
RJPN-007-3,RJPN-008-2,-2.9,-2.9,0.0,0.0,95.8,95.8,unchanged
RJPN-006-1,RJPN-006-2,1.9,1.9,0.0,0.0,95.78,95.78,unchanged
RJPN-005-1,RJPN-008-2,-1.4,-1.4,0.0,0.0,95.71,95.71,unchanged
RJPN-003-3,RJPN-003-1,1.8,1.8,0.0,0.0,95.68,95.68,unchanged
RJPN-007-3,RJPN-008-1,-1.1,-1.1,0.0,0.0,95.63,95.63,unchanged
RJPN-009-3,RJPN-010-3,3.4,3.4,0.0,0.0,95.62,95.62,unchanged
RJPN-009-1,RJPN-009-3,-0.8,-0.8,0.0,0.0,95.53,95.53,unchanged
RJPN-002-3,RJPN-001-1,3.2,3.2,0.0,0.0,95.5,95.5,unchanged
RJPN-007-3,RJPN-001-3,1.1,1.1,0.0,0.0,95.47,95.47,unchanged
RJPN-011-1,RJPN-001-3,4.9,4.9,0.0,0.0,95.39,95.39,unchanged
RJPN-011-1,RJPN-011-2,3.2,3.2,0.0,0.0,95.38,95.38,unchanged
RJPN-007-3,RJPN-002-2,-2.4,-2.4,0.0,0.0,95.38,95.38,unchanged
RJPN-008-1,RJPN-001-3,-2.2,-2.2,0.0,0.0,95.36,95.36,unchanged
RJPN-005-2,RJPN-001-1,3.3,3.3,0.0,0.0,95.36,95.36,unchanged
RJPN-005-2,RJPN-005-1,-1.9,-1.9,0.0,0.0,95.35,95.35,unchanged
RJPN-007-3,RJPN-002-1,-3.7,-3.7,0.0,0.0,95.32,95.32,unchanged
RJPN-003-2,RJPN-003-1,-2.7,-2.7,0.0,0.0,95.32,95.32,unchanged
RJPN-009-1,RJPN-010-2,-3.6,-3.6,0.0,0.0,95.31,95.31,unchanged
RJPN-003-3,RJPN-004-3,2.4,2.4,0.0,0.0,95.3,95.3,unchanged
RJPN-009-1,RJPN-010-3,0.8,0.8,0.0,0.0,95.3,95.3,unchanged
RJPN-001-2,RJPN-008-1,-5.8,-5.8,0.0,0.0,95.24,95.24,unchanged
RJPN-010-1,RJPN-010-3,3.1,3.1,0.0,0.0,95.22,95.22,unchanged
RJPN-005-3,RJPN-002-3,-1.4,-1.4,0.0,0.0,95.22,95.22,unchanged
RJPN-011-1,RJPN-011-3,-3.7,-3.7,0.0,0.0,95.22,95.22,unchanged
RJPN-003-3,RJPN-006-3,2.4,2.4,0.0,0.0,95.21,95.21,unchanged
RJPN-006-1,RJPN-006-3,-1.8,-1.8,0.0,0.0,95.21,95.21,unchanged
RJPN-007-3,RJPN-002-3,3.9,3.9,0.0,0.0,95.21,95.21,unchanged
RJPN-001-2,RJPN-001-1,4.9,4.9,0.0,0.0,95.16,95.16,unchanged
RJPN-008-1,RJPN-002-2,-4.7,-4.7,0.0,0.0,95.14,95.14,unchanged
RJPN-011-1,RJPN-007-1,1.9,1.9,0.0,0.0,95.14,95.14,unchanged
RJPN-002-3,RJPN-007-1,-3.6,-3.6,0.0,0.0,95.14,95.14,unchanged
RJPN-001-2,RJPN-002-1,-3.3,-3.3,0.0,0.0,95.14,95.14,unchanged
RJPN-010-1,RJPN-002-1,-1.4,-1.4,0.0,0.0,95.13,95.13,unchanged
RJPN-011-1,RJPN-008-1,-1.3,-1.3,0.0,0.0,95.13,95.13,unchanged
RJPN-005-1,RJPN-001-2,3.8,3.8,0.0,0.0,95.12,95.12,unchanged
RJPN-010-1,RJPN-004-3,2.6,2.6,0.0,0.0,95.11,95.11,unchanged
RJPN-009-1,RJPN-009-2,-2.2,-2.2,0.0,0.0,95.08,95.08,unchanged
RJPN-010-1,RJPN-004-1,-1.3,-1.3,0.0,0.0,95.08,95.08,unchanged
RJPN-001-2,RJPN-001-3,-5.6,-5.6,0.0,0.0,95.07,95.07,unchanged
RJPN-008-1,RJPN-007-2,4.4,4.4,0.0,0.0,95.07,95.07,unchanged
RJPN-005-1,RJPN-001-1,5.9,5.9,0.0,0.0,95.05,95.05,unchanged
RJPN-010-1,RJPN-009-1,5.3,5.3,0.0,0.0,95.04,95.04,unchanged
RJPN-005-1,RJPN-005-2,5.7,5.7,0.0,0.0,95.04,95.04,unchanged
RJPN-010-1,RJPN-002-2,5.9,5.9,0.0,0.0,95.01,95.01,unchanged
RJPN-010-1,RJPN-010-2,4.8,4.8,0.0,0.0,94.96,94.96,unchanged
RJPN-005-3,RJPN-002-2,-5.2,-5.2,0.0,0.0,94.94,94.94,unchanged
RJPN-009-1,RJPN-010-1,-1.6,-1.6,0.0,0.0,94.92,94.92,unchanged
RJPN-004-2,RJPN-010-1,1.7,1.7,0.0,0.0,94.92,94.92,unchanged
RJPN-004-2,RJPN-010-3,-3.8,-3.8,0.0,0.0,94.89,94.89,unchanged
RJPN-002-3,RJPN-002-1,-1.7,-1.7,0.0,0.0,94.89,94.89,unchanged
RJPN-008-1,RJPN-001-1,-2.4,-2.4,0.0,0.0,94.88,94.88,unchanged
RJPN-005-3,RJPN-008-3,2.6,2.6,0.0,0.0,94.86,94.86,unchanged
RJPN-001-2,RJPN-002-2,3.8,3.8,0.0,0.0,94.86,94.86,unchanged
