source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
RJPN-009-2,RJPN-004-1,-4.4,-4.4,0.0,0.0,97.44,97.44,unchanged
RJPN-009-2,RJPN-008-1,-3.1,-3.1,0.0,0.0,97.24,97.24,unchanged
RJPN-004-1,RJPN-005-3,0.1,0.1,0.0,0.0,97.2,97.2,unchanged
RJPN-002-1,RJPN-004-2,-3.8,-3.8,0.0,0.0,97.11,97.11,unchanged
RJPN-004-1,RJPN-003-1,-2.7,-2.7,0.0,0.0,96.67,96.67,unchanged
RJPN-004-1,RJPN-004-2,4.3,4.3,0.0,0.0,96.63,96.63,unchanged
RJPN-006-2,RJPN-006-3,0.8,0.8,0.0,0.0,96.52,96.52,unchanged
RJPN-004-3,RJPN-004-1,-5.3,-5.3,0.0,0.0,96.49,96.49,unchanged
RJPN-009-1,RJPN-008-1,-2.2,-2.2,0.0,0.0,96.46,96.46,unchanged
RJPN-004-1,RJPN-005-1,5.6,5.6,0.0,0.0,96.39,96.39,unchanged
RJPN-004-1,RJPN-003-3,0.9,0.9,0.0,0.0,96.37,96.37,unchanged
RJPN-006-2,RJPN-008-3,-4.7,-4.7,0.0,0.0,96.26,96.26,unchanged
RJPN-006-2,RJPN-006-1,5.1,5.1,0.0,0.0,96.22,96.22,unchanged
RJPN-010-2,RJPN-011-2,3.6,3.6,0.0,0.0,96.2,96.2,unchanged
RJPN-001-1,RJPN-006-1,2.3,2.3,0.0,0.0,96.2,96.2,unchanged
RJPN-008-2,RJPN-008-1,-5.1,-5.1,0.0,0.0,96.16,96.16,unchanged
RJPN-004-3,RJPN-003-1,-1.1,-1.1,0.0,0.0,96.12,96.12,unchanged
RJPN-008-2,RJPN-001-3,-3.1,-3.1,0.0,0.0,96.11,96.11,unchanged
RJPN-006-2,RJPN-010-2,2.8,2.8,0.0,0.0,96.1,96.1,unchanged
RJPN-001-1,RJPN-001-3,-0.3,-0.3,0.0,0.0,96.04,96.04,unchanged
RJPN-003-2,RJPN-003-1,1.6,1.6,0.0,0.0,95.95,95.95,unchanged
RJPN-002-1,RJPN-002-3,3.3,3.3,0.0,0.0,95.94,95.94,unchanged
RJPN-006-2,RJPN-001-3,3.1,3.1,0.0,0.0,95.92,95.92,unchanged
RJPN-009-2,RJPN-009-3,-4.2,-4.2,0.0,0.0,95.91,95.91,unchanged
RJPN-003-2,RJPN-003-3,1.8,1.8,0.0,0.0,95.9,95.9,unchanged
RJPN-003-2,RJPN-004-3,-0.9,-0.9,0.0,0.0,95.86,95.86,unchanged
RJPN-001-2,RJPN-006-3,4.9,4.9,0.0,0.0,95.81,95.81,unchanged
RJPN-006-2,RJPN-010-1,-4.1,-4.1,0.0,0.0,95.76,95.76,unchanged
RJPN-003-1,RJPN-004-2,-1.4,-1.4,0.0,0.0,95.75,95.75,unchanged
RJPN-010-2,RJPN-011-3,0.9,0.9,0.0,0.0,95.75,95.75,unchanged
RJPN-002-1,RJPN-002-2,2.6,2.6,0.0,0.0,95.72,95.72,unchanged
RJPN-004-3,RJPN-004-2,-4.8,-4.8,0.0,0.0,95.67,95.67,unchanged
RJPN-009-1,RJPN-009-3,3.3,3.3,0.0,0.0,95.64,95.64,unchanged
RJPN-004-3,RJPN-009-1,-3.9,-3.9,0.0,0.0,95.6,95.6,unchanged
RJPN-009-1,RJPN-003-1,0.7,0.7,0.0,0.0,95.57,95.57,unchanged
