source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
RJPN-005-3,RJPN-007-1,-4.7,-4.7,0.0,0.0,97.59,97.59,unchanged
RJPN-010-1,RJPN-008-3,2.4,2.4,0.0,0.0,97.05,97.05,unchanged
RJPN-010-1,RJPN-008-1,2.3,2.3,0.0,0.0,97.04,97.04,unchanged
RJPN-010-2,RJPN-011-3,-2.9,-2.9,0.0,0.0,97.03,97.03,unchanged
RJPN-005-3,RJPN-005-1,3.3,3.3,0.0,0.0,96.97,96.97,unchanged
RJPN-007-3,RJPN-001-3,3.4,3.4,0.0,0.0,96.93,96.93,unchanged
RJPN-009-2,RJPN-009-1,4.7,4.7,0.0,0.0,96.92,96.92,unchanged
RJPN-010-2,RJPN-008-3,4.2,4.2,0.0,0.0,96.92,96.92,unchanged
RJPN-010-1,RJPN-010-2,-2.9,-2.9,0.0,0.0,96.87,96.87,unchanged
RJPN-007-3,RJPN-003-2,-5.6,-5.6,0.0,0.0,96.77,96.77,unchanged
RJPN-008-3,RJPN-011-3,-1.2,-1.2,0.0,0.0,96.77,96.77,unchanged
RJPN-010-1,RJPN-011-1,4.3,4.3,0.0,0.0,96.67,96.67,unchanged
RJPN-001-1,RJPN-004-1,-5.4,-5.4,0.0,0.0,96.64,96.64,unchanged
RJPN-009-2,RJPN-004-1,0.4,0.4,0.0,0.0,96.53,96.53,unchanged
RJPN-010-2,RJPN-010-3,2.2,2.2,0.0,0.0,96.5,96.5,unchanged
RJPN-001-1,RJPN-001-3,-1.7,-1.7,0.0,0.0,96.49,96.49,unchanged
RJPN-005-3,RJPN-001-2,2.3,2.3,0.0,0.0,96.49,96.49,unchanged
RJPN-007-2,RJPN-003-1,-2.1,-2.1,0.0,0.0,96.47,96.47,unchanged
RJPN-010-2,RJPN-011-1,5.3,5.3,0.0,0.0,96.45,96.45,unchanged
RJPN-007-3,RJPN-001-1,-3.6,-3.6,0.0,0.0,96.42,96.42,unchanged
RJPN-010-1,RJPN-010-3,-2.8,-2.8,0.0,0.0,96.4,96.4,unchanged
RJPN-003-1,RJPN-003-2,-2.4,-2.4,0.0,0.0,96.4,96.4,unchanged
RJPN-007-2,RJPN-007-1,-0.9,-0.9,0.0,0.0,96.4,96.4,unchanged
RJPN-005-3,RJPN-001-1,0.2,0.2,0.0,0.0,96.39,96.39,unchanged
RJPN-007-2,RJPN-007-3,5.4,5.4,0.0,0.0,96.38,96.38,unchanged
RJPN-009-2,RJPN-006-3,4.9,4.9,0.0,0.0,96.36,96.36,unchanged
RJPN-007-2,RJPN-001-2,5.1,5.1,0.0,0.0,96.29,96.29,unchanged
RJPN-005-3,RJPN-005-2,-2.6,-2.6,0.0,0.0,96.24,96.24,unchanged
RJPN-010-2,RJPN-010-1,3.6,3.6,0.0,0.0,96.18,96.18,unchanged
RJPN-008-3,RJPN-011-2,0.2,0.2,0.0,0.0,96.15,96.15,unchanged
RJPN-010-2,RJPN-011-2,-1.8,-1.8,0.0,0.0,96.07,96.07,unchanged
RJPN-006-2,RJPN-011-3,1.8,1.8,0.0,0.0,96.03,96.03,unchanged
RJPN-001-1,RJPN-001-2,-1.6,-1.6,0.0,0.0,96.01,96.01,unchanged
RJPN-008-3,RJPN-006-3,1.9,1.9,0.0,0.0,96.0,96.0,unchanged
RJPN-009-2,RJPN-004-2,2.8,2.8,0.0,0.0,95.97,95.97,unchanged
RJPN-003-1,RJPN-001-1,-1.9,-1.9,0.0,0.0,95.94,95.94,unchanged
RJPN-001-1,RJPN-011-1,5.4,5.4,0.0,0.0,95.94,95.94,unchanged
RJPN-001-1,RJPN-007-1,-4.8,-4.8,0.0,0.0,95.91,95.91,unchanged
RJPN-011-2,RJPN-009-2,-3.2,-3.2,0.0,0.0,95.87,95.87,unchanged
RJPN-008-3,RJPN-008-1,3.7,3.7,0.0,0.0,95.87,95.87,unchanged
RJPN-011-2,RJPN-011-3,5.7,5.7,0.0,0.0,95.85,95.85,unchanged
RJPN-009-2,RJPN-004-3,-0.3,-0.3,0.0,0.0,95.85,95.85,unchanged
RJPN-008-3,RJPN-010-1,5.9,5.9,0.0,0.0,95.81,95.81,unchanged
RJPN-001-1,RJPN-004-3,5.1,5.1,0.0,0.0,95.81,95.81,unchanged
RJPN-007-3,RJPN-003-3,1.9,1.9,0.0,0.0,95.8,95.8,unchanged
RJPN-001-1,RJPN-007-2,5.3,5.3,0.0,0.0,95.76,95.76,unchanged
RJPN-003-1,RJPN-003-3,3.4,3.4,0.0,0.0,95.75,95.75,unchanged
RJPN-006-2,RJPN-008-2,-2.6,-2.6,0.0,0.0,95.73,95.73,unchanged
RJPN-008-3,RJPN-006-1,-2.1,-2.1,0.0,0.0,95.73,95.73,unchanged
RJPN-011-2,RJPN-006-3,-5.9,-5.9,0.0,0.0,95.72,95.72,unchanged
RJPN-009-2,RJPN-006-2,0.3,0.3,0.0,0.0,95.7,95.7,unchanged
RJPN-010-1,RJPN-011-2,-2.1,-2.1,0.0,0.0,95.69,95.69,unchanged
RJPN-001-3,RJPN-004-2,-5.6,-5.6,0.0,0.0,95.66,95.66,unchanged
RJPN-011-2,RJPN-008-1,-5.9,-5.9,0.0,0.0,95.65,95.65,unchanged
RJPN-005-2,RJPN-003-1,4.3,4.3,0.0,0.0,95.64,95.64,unchanged
RJPN-004-3,RJPN-007-1,-1.3,-1.3,0.0,0.0,95.62,95.62,unchanged
RJPN-003-1,RJPN-005-1,3.8,3.8,0.0,0.0,95.62,95.62,unchanged
RJPN-011-2,RJPN-006-2,-3.8,-3.8,0.0,0.0,95.57,95.57,unchanged
RJPN-010-1,RJPN-011-3,3.6,3.6,0.0,0.0,95.48,95.48,unchanged
RJPN-005-2,RJPN-001-3,-3.8,-3.8,0.0,0.0,95.47,95.47,unchanged
RJPN-005-2,RJPN-007-3,-2.7,-2.7,0.0,0.0,95.46,95.46,unchanged
RJPN-001-3,RJPN-007-2,-2.9,-2.9,0.0,0.0,95.44,95.44,unchanged
RJPN-006-2,RJPN-009-1,4.4,4.4,0.0,0.0,95.43,95.43,unchanged
RJPN-003-1,RJPN-007-1,3.6,3.6,0.0,0.0,95.43,95.43,unchanged
RJPN-011-2,RJPN-009-1,-4.9,-4.9,0.0,0.0,95.39,95.39,unchanged
RJPN-001-1,RJPN-007-3,2.9,2.9,0.0,0.0,95.37,95.37,unchanged
RJPN-004-3,RJPN-004-2,-2.1,-2.1,0.0,0.0,95.31,95.31,unchanged
RJPN-003-3,RJPN-003-2,5.3,5.3,0.0,0.0,95.28,95.28,unchanged
RJPN-005-2,RJPN-001-1,-2.9,-2.9,0.0,0.0,95.26,95.26,unchanged
RJPN-001-3,RJPN-001-1,3.2,3.2,0.0,0.0,95.26,95.26,unchanged
RJPN-006-1,RJPN-006-2,5.7,5.7,0.0,0.0,95.21,95.21,unchanged
RJPN-009-2,RJPN-009-3,4.9,4.9,0.0,0.0,95.16,95.16,unchanged
RJPN-003-1,RJPN-007-2,-3.7,-3.7,0.0,0.0,95.15,95.15,unchanged
RJPN-005-2,RJPN-007-2,1.9,1.9,0.0,0.0,95.15,95.15,unchanged
RJPN-006-2,RJPN-011-2,4.4,4.4,0.0,0.0,95.15,95.15,unchanged
RJPN-003-2,RJPN-001-1,4.1,4.1,0.0,0.0,95.13,95.13,unchanged
RJPN-004-3,RJPN-007-3,3.4,3.4,0.0,0.0,95.13,95.13,unchanged
RJPN-003-1,RJPN-001-2,0.4,0.4,0.0,0.0,95.13,95.13,unchanged
RJPN-001-3,RJPN-007-3,2.3,2.3,0.0,0.0,95.11,95.11,unchanged
RJPN-005-2,RJPN-007-1,2.9,2.9,0.0,0.0,95.1,95.1,unchanged
RJPN-004-3,RJPN-009-3,-1.3,-1.3,0.0,0.0,95.08,95.08,unchanged
RJPN-003-1,RJPN-007-3,-3.9,-3.9,0.0,0.0,95.02,95.02,unchanged
RJPN-001-3,RJPN-007-1,-5.6,-5.6,0.0,0.0,95.01,95.01,unchanged
RJPN-011-2,RJPN-008-3,5.8,5.8,0.0,0.0,95.0,95.0,unchanged
RJPN-005-2,RJPN-003-3,-1.4,-1.4,0.0,0.0,95.0,95.0,unchanged
RJPN-006-2,RJPN-006-3,-0.9,-0.9,0.0,0.0,94.98,94.98,unchanged
RJPN-005-1,RJPN-005-3,-4.9,-4.9,0.0,0.0,94.96,94.96,unchanged
RJPN-005-2,RJPN-005-1,5.2,5.2,0.0,0.0,94.94,94.94,unchanged
RJPN-003-1,RJPN-005-3,1.8,1.8,0.0,0.0,94.94,94.94,unchanged
RJPN-001-3,RJPN-011-3,-4.3,-4.3,0.0,0.0,94.93,94.93,unchanged
RJPN-001-3,RJPN-004-3,-3.7,-3.7,0.0,0.0,94.88,94.88,unchanged
RJPN-003-1,RJPN-005-2,-5.6,-5.6,0.0,0.0,94.85,94.85,unchanged
RJPN-002-3,RJPN-007-2,2.1,2.1,0.0,0.0,94.85,94.85,unchanged
RJPN-003-2,RJPN-007-2,-3.7,-3.7,0.0,0.0,94.81,94.81,unchanged
RJPN-005-2,RJPN-001-2,-4.3,-4.3,0.0,0.0,94.79,94.79,unchanged
RJPN-011-3,RJPN-011-2,2.6,2.6,0.0,0.0,94.78,94.78,unchanged
RJPN-002-3,RJPN-004-1,-5.7,-5.7,0.0,0.0,94.76,94.76,unchanged
RJPN-004-3,RJPN-009-2,2.6,2.6,0.0,0.0,94.74,94.74,unchanged
RJPN-011-2,RJPN-006-1,5.3,5.3,0.0,0.0,94.73,94.73,unchanged
RJPN-006-2,RJPN-006-1,5.4,5.4,0.0,0.0,94.66,94.66,unchanged
RJPN-006-1,RJPN-009-3,2.9,2.9,0.0,0.0,94.66,94.66,unchanged
RJPN-006-1,RJPN-009-1,2.6,2.6,0.0,0.0,94.63,94.63,unchanged
RJPN-006-1,RJPN-011-2,4.7,4.7,0.0,0.0,94.62,94.62,unchanged
RJPN-008-3,RJPN-008-2,-1.2,-1.2,0.0,0.0,94.56,94.56,unchanged
RJPN-008-1,RJPN-006-3,5.8,5.8,0.0,0.0,94.56,94.56,unchanged
RJPN-006-1,RJPN-004-1,-1.9,-1.9,0.0,0.0,94.53,94.53,unchanged
RJPN-006-1,RJPN-008-1,0.4,0.4,0.0,0.0,94.49,94.49,unchanged
RJPN-003-2,RJPN-007-3,4.3,4.3,0.0,0.0,94.41,94.41,unchanged
RJPN-002-3,RJPN-004-2,3.6,3.6,0.0,0.0,94.41,94.41,unchanged
RJPN-001-2,RJPN-004-1,-2.3,-2.3,0.0,0.0,94.4,94.4,unchanged
RJPN-003-2,RJPN-005-3,3.6,3.6,0.0,0.0,94.39,94.39,unchanged
RJPN-004-2,RJPN-009-1,-0.9,-0.9,0.0,0.0,94.38,94.38,unchanged
RJPN-001-3,RJPN-001-2,-0.9,-0.9,0.0,0.0,94.36,94.36,unchanged
RJPN-004-3,RJPN-007-2,-2.3,-2.3,0.0,0.0,94.32,94.32,unchanged
RJPN-004-3,RJPN-001-2,-0.6,-0.6,0.0,0.0,94.3,94.3,unchanged
RJPN-004-1,RJPN-009-1,-2.2,-2.2,0.0,0.0,94.27,94.27,unchanged
RJPN-001-2,RJPN-011-3,4.7,4.7,0.0,0.0,94.27,94.27,unchanged
RJPN-005-1,RJPN-001-2,-1.8,-1.8,0.0,0.0,94.22,94.22,unchanged
RJPN-007-1,RJPN-004-2,4.3,4.3,0.0,0.0,94.2,94.2,unchanged
RJPN-006-1,RJPN-006-3,-0.6,-0.6,0.0,0.0,94.19,94.19,unchanged
RJPN-005-2,RJPN-003-2,-2.9,-2.9,0.0,0.0,94.16,94.16,unchanged
RJPN-003-2,RJPN-005-1,0.8,0.8,0.0,0.0,94.15,94.15,unchanged
RJPN-005-2,RJPN-005-3,-1.4,-1.4,0.0,0.0,94.14,94.14,unchanged
RJPN-002-3,RJPN-009-1,5.3,5.3,0.0,0.0,94.07,94.07,unchanged
RJPN-007-1,RJPN-003-2,3.3,3.3,0.0,0.0,94.07,94.07,unchanged
RJPN-008-1,RJPN-001-1,-5.3,-5.3,0.0,0.0,94.06,94.06,unchanged
RJPN-009-1,RJPN-004-2,1.7,1.7,0.0,0.0,94.04,94.04,unchanged
RJPN-008-1,RJPN-011-3,3.3,3.3,0.0,0.0,94.02,94.02,unchanged
RJPN-003-3,RJPN-007-3,-0.1,-0.1,0.0,0.0,94.02,94.02,unchanged
RJPN-004-3,RJPN-009-1,-2.2,-2.2,0.0,0.0,94.02,94.02,unchanged
RJPN-003-3,RJPN-005-2,1.3,1.3,0.0,0.0,93.99,93.99,unchanged
RJPN-003-2,RJPN-001-2,-2.9,-2.9,0.0,0.0,93.99,93.99,unchanged
RJPN-004-1,RJPN-009-3,2.3,2.3,0.0,0.0,93.97,93.97,unchanged
RJPN-003-2,RJPN-001-3,5.4,5.4,0.0,0.0,93.93,93.93,unchanged
RJPN-007-1,RJPN-003-3,4.9,4.9,0.0,0.0,93.91,93.91,unchanged
RJPN-003-3,RJPN-003-1,-0.6,-0.6,0.0,0.0,93.91,93.91,unchanged
RJPN-006-1,RJPN-008-3,5.3,5.3,0.0,0.0,93.9,93.9,unchanged
RJPN-006-3,RJPN-008-1,4.6,4.6,0.0,0.0,93.88,93.88,unchanged
RJPN-003-3,RJPN-007-1,-0.4,-0.4,0.0,0.0,93.8,93.8,unchanged
RJPN-003-2,RJPN-003-1,-0.4,-0.4,0.0,0.0,93.77,93.77,unchanged
RJPN-003-2,RJPN-007-1,3.3,3.3,0.0,0.0,93.77,93.77,unchanged
RJPN-001-3,RJPN-011-1,2.8,2.8,0.0,0.0,93.76,93.76,unchanged
