source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
RJPN-010-3,RJPN-008-2,-4.2,-4.2,0.0,0.0,97.32,97.32,unchanged
RJPN-010-3,RJPN-010-1,-3.9,-3.9,0.0,0.0,97.21,97.21,unchanged
RJPN-005-3,RJPN-007-2,3.4,3.4,0.0,0.0,97.2,97.2,unchanged
RJPN-002-3,RJPN-007-1,-0.1,-0.1,0.0,0.0,96.97,96.97,unchanged
RJPN-010-2,RJPN-008-3,2.7,2.7,0.0,0.0,96.95,96.95,unchanged
RJPN-010-2,RJPN-010-1,-0.4,-0.4,0.0,0.0,96.93,96.93,unchanged
RJPN-002-2,RJPN-007-1,-4.2,-4.2,0.0,0.0,96.9,96.9,unchanged
RJPN-005-3,RJPN-007-3,-2.6,-2.6,0.0,0.0,96.89,96.89,unchanged
RJPN-005-3,RJPN-009-3,5.7,5.7,0.0,0.0,96.84,96.84,unchanged
RJPN-002-2,RJPN-007-3,1.7,1.7,0.0,0.0,96.84,96.84,unchanged
RJPN-011-1,RJPN-008-3,-2.3,-2.3,0.0,0.0,96.76,96.76,unchanged
RJPN-010-3,RJPN-009-3,1.4,1.4,0.0,0.0,96.75,96.75,unchanged
RJPN-010-2,RJPN-010-3,0.7,0.7,0.0,0.0,96.75,96.75,unchanged
RJPN-005-3,RJPN-005-1,1.4,1.4,0.0,0.0,96.73,96.73,unchanged
RJPN-008-3,RJPN-002-2,5.7,5.7,0.0,0.0,96.71,96.71,unchanged
RJPN-006-3,RJPN-006-2,2.7,2.7,0.0,0.0,96.7,96.7,unchanged
RJPN-003-1,RJPN-003-2,-3.3,-3.3,0.0,0.0,96.68,96.68,unchanged
RJPN-010-3,RJPN-009-1,3.4,3.4,0.0,0.0,96.66,96.66,unchanged
RJPN-009-3,RJPN-005-3,-3.3,-3.3,0.0,0.0,96.66,96.66,unchanged
RJPN-010-3,RJPN-009-2,2.6,2.6,0.0,0.0,96.65,96.65,unchanged
RJPN-010-2,RJPN-009-3,1.9,1.9,0.0,0.0,96.63,96.63,unchanged
RJPN-008-1,RJPN-008-2,-4.3,-4.3,0.0,0.0,96.62,96.62,unchanged
RJPN-009-3,RJPN-005-1,4.8,4.8,0.0,0.0,96.61,96.61,unchanged
RJPN-008-1,RJPN-011-2,0.7,0.7,0.0,0.0,96.6,96.6,unchanged
RJPN-005-3,RJPN-005-2,-1.9,-1.9,0.0,0.0,96.6,96.6,unchanged
RJPN-002-2,RJPN-007-2,-4.7,-4.7,0.0,0.0,96.58,96.58,unchanged
RJPN-002-3,RJPN-011-3,2.3,2.3,0.0,0.0,96.54,96.54,unchanged
RJPN-007-2,RJPN-005-2,3.9,3.9,0.0,0.0,96.53,96.53,unchanged
RJPN-007-2,RJPN-002-3,5.2,5.2,0.0,0.0,96.53,96.53,unchanged
RJPN-011-1,RJPN-011-3,1.4,1.4,0.0,0.0,96.5,96.5,unchanged
RJPN-008-3,RJPN-006-2,-3.8,-3.8,0.0,0.0,96.5,96.5,unchanged
RJPN-003-1,RJPN-007-2,5.9,5.9,0.0,0.0,96.49,96.49,unchanged
RJPN-002-3,RJPN-007-3,2.2,2.2,0.0,0.0,96.47,96.47,unchanged
RJPN-001-2,RJPN-007-1,-5.2,-5.2,0.0,0.0,96.44,96.44,unchanged
RJPN-009-3,RJPN-005-2,-5.7,-5.7,0.0,0.0,96.43,96.43,unchanged
RJPN-002-3,RJPN-002-1,-4.2,-4.2,0.0,0.0,96.43,96.43,unchanged
RJPN-002-2,RJPN-011-2,5.1,5.1,0.0,0.0,96.41,96.41,unchanged
RJPN-002-3,RJPN-011-2,-3.3,-3.3,0.0,0.0,96.39,96.39,unchanged
