source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
KYIV-015-3,KYIV-015-2,3.8,3.8,0.0,0.0,98.15,98.15,unchanged
KYIV-005-3,KYIV-009-2,2.4,2.4,0.0,0.0,98.06,98.06,unchanged
KYIV-011-3,KYIV-016-2,-0.7,-0.7,0.0,0.0,98.06,98.06,unchanged
KYIV-014-2,KYIV-012-1,-4.9,-4.9,0.0,0.0,98.03,98.03,unchanged
KYIV-010-3,KYIV-010-1,-0.1,-0.1,0.0,0.0,98.0,98.0,unchanged
KYIV-014-2,KYIV-012-2,4.2,4.2,0.0,0.0,97.99,97.99,unchanged
KYIV-005-3,KYIV-005-1,0.8,0.8,0.0,0.0,97.98,97.98,unchanged
KYIV-008-2,KYIV-016-2,1.2,1.2,0.0,0.0,97.98,97.98,unchanged
KYIV-016-3,KYIV-016-1,3.6,3.6,0.0,0.0,97.97,97.97,unchanged
KYIV-003-3,KYIV-015-1,0.3,0.3,0.0,0.0,97.97,97.97,unchanged
KYIV-014-2,KYIV-012-3,5.3,5.3,0.0,0.0,97.96,97.96,unchanged
KYIV-010-2,KYIV-003-1,5.7,5.7,0.0,0.0,97.94,97.94,unchanged
KYIV-002-1,KYIV-002-3,0.7,0.7,0.0,0.0,97.94,97.94,unchanged
KYIV-014-2,KYIV-014-1,5.7,5.7,0.0,0.0,97.91,97.91,unchanged
KYIV-002-1,KYIV-012-3,-3.1,-3.1,0.0,0.0,97.89,97.89,unchanged
KYIV-010-3,KYIV-003-3,5.2,5.2,0.0,0.0,97.86,97.86,unchanged
KYIV-011-3,KYIV-016-3,-3.4,-3.4,0.0,0.0,97.85,97.85,unchanged
KYIV-015-3,KYIV-010-3,5.3,5.3,0.0,0.0,97.84,97.84,unchanged
KYIV-004-2,KYIV-011-1,1.3,1.3,0.0,0.0,97.83,97.83,unchanged
KYIV-004-1,KYIV-014-2,-4.8,-4.8,0.0,0.0,97.82,97.82,unchanged
KYIV-011-3,KYIV-016-1,-0.6,-0.6,0.0,0.0,97.82,97.82,unchanged
KYIV-014-2,KYIV-004-1,2.3,2.3,0.0,0.0,97.81,97.81,unchanged
