source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
KYIV-003-2,KYIV-003-3,2.6,2.6,0.0,0.0,98.37,98.37,unchanged
KYIV-012-1,KYIV-011-1,3.2,3.2,0.0,0.0,98.29,98.29,unchanged
KYIV-010-1,KYIV-001-1,1.9,1.9,0.0,0.0,98.27,98.27,unchanged
KYIV-009-3,KYIV-006-1,3.8,3.8,0.0,0.0,98.25,98.25,unchanged
KYIV-015-3,KYIV-001-2,4.3,4.3,0.0,0.0,98.2,98.2,unchanged
KYIV-012-1,KYIV-004-2,5.8,5.8,0.0,0.0,98.18,98.18,unchanged
KYIV-002-3,KYIV-014-2,2.8,2.8,0.0,0.0,98.17,98.17,unchanged
KYIV-001-2,KYIV-015-3,3.6,3.6,0.0,0.0,98.16,98.16,unchanged
KYIV-001-1,KYIV-013-1,-4.3,-4.3,0.0,0.0,98.15,98.15,unchanged
KYIV-005-2,KYIV-008-2,-0.9,-0.9,0.0,0.0,98.14,98.14,unchanged
KYIV-015-2,KYIV-001-1,-0.8,-0.8,0.0,0.0,98.13,98.13,unchanged
KYIV-010-1,KYIV-001-2,-2.9,-2.9,0.0,0.0,98.11,98.11,unchanged
KYIV-012-1,KYIV-004-1,-3.3,-3.3,0.0,0.0,98.08,98.08,unchanged
KYIV-009-3,KYIV-009-2,-3.3,-3.3,0.0,0.0,98.08,98.08,unchanged
KYIV-014-1,KYIV-014-2,-0.3,-0.3,0.0,0.0,98.07,98.07,unchanged
KYIV-002-3,KYIV-007-1,-1.8,-1.8,0.0,0.0,98.07,98.07,unchanged
KYIV-009-1,KYIV-006-3,1.2,1.2,0.0,0.0,98.06,98.06,unchanged
KYIV-014-2,KYIV-014-1,-1.7,-1.7,0.0,0.0,98.04,98.04,unchanged
KYIV-009-3,KYIV-016-1,-4.8,-4.8,0.0,0.0,98.04,98.04,unchanged
KYIV-015-3,KYIV-001-1,-4.8,-4.8,0.0,0.0,98.04,98.04,unchanged
KYIV-005-1,KYIV-003-3,-5.3,-5.3,0.0,0.0,98.03,98.03,unchanged
KYIV-002-3,KYIV-002-2,-3.1,-3.1,0.0,0.0,98.03,98.03,unchanged
KYIV-002-3,KYIV-007-3,0.3,0.3,0.0,0.0,98.03,98.03,unchanged
KYIV-015-2,KYIV-001-3,0.6,0.6,0.0,0.0,98.03,98.03,unchanged
KYIV-015-3,KYIV-015-1,3.4,3.4,0.0,0.0,98.01,98.01,unchanged
KYIV-008-2,KYIV-003-2,5.3,5.3,0.0,0.0,98.0,98.0,unchanged
KYIV-006-1,KYIV-016-3,3.9,3.9,0.0,0.0,97.98,97.98,unchanged
KYIV-006-1,KYIV-009-3,-3.7,-3.7,0.0,0.0,97.98,97.98,unchanged
KYIV-002-3,KYIV-002-1,-2.3,-2.3,0.0,0.0,97.98,97.98,unchanged
KYIV-015-3,KYIV-001-3,-4.6,-4.6,0.0,0.0,97.97,97.97,unchanged
KYIV-006-1,KYIV-009-2,-0.9,-0.9,0.0,0.0,97.97,97.97,unchanged
KYIV-014-2,KYIV-004-2,-0.8,-0.8,0.0,0.0,97.97,97.97,unchanged
KYIV-004-2,KYIV-002-2,-5.8,-5.8,0.0,0.0,97.96,97.96,unchanged
KYIV-009-3,KYIV-006-3,-4.8,-4.8,0.0,0.0,97.96,97.96,unchanged
KYIV-007-1,KYIV-002-2,1.4,1.4,0.0,0.0,97.95,97.95,unchanged
KYIV-014-2,KYIV-014-3,5.9,5.9,0.0,0.0,97.95,97.95,unchanged
KYIV-014-2,KYIV-002-2,1.8,1.8,0.0,0.0,97.94,97.94,unchanged
KYIV-005-2,KYIV-005-3,5.6,5.6,0.0,0.0,97.93,97.93,unchanged
KYIV-010-2,KYIV-015-3,3.8,3.8,0.0,0.0,97.93,97.93,unchanged
KYIV-005-1,KYIV-008-2,-0.7,-0.7,0.0,0.0,97.91,97.91,unchanged
KYIV-013-3,KYIV-010-1,-0.2,-0.2,0.0,0.0,97.91,97.91,unchanged
KYIV-013-3,KYIV-010-3,-4.1,-4.1,0.0,0.0,97.91,97.91,unchanged
KYIV-008-2,KYIV-005-1,-1.3,-1.3,0.0,0.0,97.91,97.91,unchanged
KYIV-001-1,KYIV-010-2,-0.4,-0.4,0.0,0.0,97.9,97.9,unchanged
KYIV-004-3,KYIV-004-2,3.6,3.6,0.0,0.0,97.89,97.89,unchanged
KYIV-004-2,KYIV-014-2,3.7,3.7,0.0,0.0,97.89,97.89,unchanged
KYIV-005-2,KYIV-015-1,1.2,1.2,0.0,0.0,97.88,97.88,unchanged
KYIV-015-2,KYIV-015-3,4.8,4.8,0.0,0.0,97.88,97.88,unchanged
KYIV-014-2,KYIV-002-3,-4.4,-4.4,0.0,0.0,97.88,97.88,unchanged
