source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
KYIV-002-2,KYIV-002-3,3.9,3.9,0.0,0.0,98.02,98.02,unchanged
KYIV-013-2,KYIV-013-1,-2.7,-2.7,0.0,0.0,97.98,97.98,unchanged
KYIV-011-1,KYIV-015-1,-0.6,-0.6,0.0,0.0,97.94,97.94,unchanged
KYIV-005-3,KYIV-005-1,-3.6,-3.6,0.0,0.0,97.93,97.93,unchanged
KYIV-008-1,KYIV-003-2,-3.7,-3.7,0.0,0.0,97.91,97.91,unchanged
KYIV-016-1,KYIV-009-3,-0.2,-0.2,0.0,0.0,97.9,97.9,unchanged
KYIV-013-2,KYIV-005-3,-5.7,-5.7,0.0,0.0,97.88,97.88,unchanged
KYIV-014-2,KYIV-008-1,4.7,4.7,0.0,0.0,97.87,97.87,unchanged
KYIV-011-2,KYIV-015-3,1.6,1.6,0.0,0.0,97.84,97.84,unchanged
KYIV-009-3,KYIV-009-2,3.1,3.1,0.0,0.0,97.83,97.83,unchanged
KYIV-009-3,KYIV-007-2,-5.9,-5.9,0.0,0.0,97.83,97.83,unchanged
KYIV-013-2,KYIV-013-3,-5.1,-5.1,0.0,0.0,97.81,97.81,unchanged
KYIV-006-3,KYIV-010-1,-2.9,-2.9,0.0,0.0,97.81,97.81,unchanged
KYIV-008-2,KYIV-003-2,-0.2,-0.2,0.0,0.0,97.81,97.81,unchanged
KYIV-011-1,KYIV-015-3,5.6,5.6,0.0,0.0,97.81,97.81,unchanged
KYIV-008-3,KYIV-003-3,-5.7,-5.7,0.0,0.0,97.8,97.8,unchanged
KYIV-008-2,KYIV-014-2,4.7,4.7,0.0,0.0,97.77,97.77,unchanged
KYIV-008-1,KYIV-003-3,3.9,3.9,0.0,0.0,97.77,97.77,unchanged
KYIV-013-2,KYIV-005-2,-1.1,-1.1,0.0,0.0,97.77,97.77,unchanged
KYIV-002-2,KYIV-004-1,-0.9,-0.9,0.0,0.0,97.76,97.76,unchanged
KYIV-007-3,KYIV-007-1,-0.3,-0.3,0.0,0.0,97.75,97.75,unchanged
KYIV-015-1,KYIV-005-2,0.1,0.1,0.0,0.0,97.75,97.75,unchanged
KYIV-009-3,KYIV-007-1,2.2,2.2,0.0,0.0,97.74,97.74,unchanged
KYIV-007-1,KYIV-016-2,-4.2,-4.2,0.0,0.0,97.74,97.74,unchanged
KYIV-012-1,KYIV-004-1,3.4,3.4,0.0,0.0,97.73,97.73,unchanged
KYIV-005-3,KYIV-011-1,-2.2,-2.2,0.0,0.0,97.72,97.72,unchanged
KYIV-010-1,KYIV-002-2,-4.2,-4.2,0.0,0.0,97.71,97.71,unchanged
KYIV-002-2,KYIV-010-2,3.1,3.1,0.0,0.0,97.71,97.71,unchanged
KYIV-010-1,KYIV-004-2,0.6,0.6,0.0,0.0,97.69,97.69,unchanged
KYIV-006-2,KYIV-014-1,-5.1,-5.1,0.0,0.0,97.69,97.69,unchanged
KYIV-008-3,KYIV-003-1,4.1,4.1,0.0,0.0,97.69,97.69,unchanged
KYIV-007-2,KYIV-016-2,5.8,5.8,0.0,0.0,97.67,97.67,unchanged
KYIV-007-2,KYIV-009-1,2.3,2.3,0.0,0.0,97.66,97.66,unchanged
KYIV-015-2,KYIV-015-3,-5.6,-5.6,0.0,0.0,97.66,97.66,unchanged
KYIV-008-3,KYIV-012-1,-3.4,-3.4,0.0,0.0,97.64,97.64,unchanged
KYIV-002-2,KYIV-002-1,-1.9,-1.9,0.0,0.0,97.63,97.63,unchanged
KYIV-008-2,KYIV-003-3,-4.7,-4.7,0.0,0.0,97.63,97.63,unchanged
KYIV-016-1,KYIV-009-2,-3.8,-3.8,0.0,0.0,97.63,97.63,unchanged
KYIV-006-2,KYIV-003-2,-0.3,-0.3,0.0,0.0,97.63,97.63,unchanged
KYIV-003-2,KYIV-014-3,-1.9,-1.9,0.0,0.0,97.62,97.62,unchanged
KYIV-003-2,KYIV-003-3,-5.9,-5.9,0.0,0.0,97.6,97.6,unchanged
KYIV-008-3,KYIV-014-3,0.1,0.1,0.0,0.0,97.6,97.6,unchanged
KYIV-016-1,KYIV-016-2,2.7,2.7,0.0,0.0,97.59,97.59,unchanged
KYIV-011-1,KYIV-013-1,-2.9,-2.9,0.0,0.0,97.59,97.59,unchanged
KYIV-007-3,KYIV-008-1,1.3,1.3,0.0,0.0,97.58,97.58,unchanged
KYIV-007-2,KYIV-016-1,-4.9,-4.9,0.0,0.0,97.58,97.58,unchanged
KYIV-005-3,KYIV-005-2,0.4,0.4,0.0,0.0,97.58,97.58,unchanged
KYIV-010-2,KYIV-004-2,-4.8,-4.8,0.0,0.0,97.57,97.57,unchanged
KYIV-005-2,KYIV-011-1,-5.9,-5.9,0.0,0.0,97.57,97.57,unchanged
KYIV-007-2,KYIV-009-2,2.2,2.2,0.0,0.0,97.55,97.55,unchanged
KYIV-010-1,KYIV-002-3,2.8,2.8,0.0,0.0,97.55,97.55,unchanged
KYIV-007-1,KYIV-008-2,1.2,1.2,0.0,0.0,97.55,97.55,unchanged
KYIV-003-2,KYIV-010-1,-0.6,-0.6,0.0,0.0,97.54,97.54,unchanged
KYIV-008-3,KYIV-008-1,5.1,5.1,0.0,0.0,97.53,97.53,unchanged
KYIV-008-1,KYIV-014-3,-1.8,-1.8,0.0,0.0,97.53,97.53,unchanged
KYIV-013-2,KYIV-005-1,4.2,4.2,0.0,0.0,97.52,97.52,unchanged
KYIV-009-3,KYIV-012-1,0.1,0.1,0.0,0.0,97.5,97.5,unchanged
KYIV-007-2,KYIV-009-3,2.7,2.7,0.0,0.0,97.49,97.49,unchanged
KYIV-008-2,KYIV-008-3,4.1,4.1,0.0,0.0,97.49,97.49,unchanged
KYIV-012-1,KYIV-003-3,2.2,2.2,0.0,0.0,97.48,97.48,unchanged
KYIV-010-1,KYIV-010-2,5.1,5.1,0.0,0.0,97.48,97.48,unchanged
KYIV-006-3,KYIV-003-3,-2.7,-2.7,0.0,0.0,97.46,97.46,unchanged
KYIV-014-3,KYIV-006-2,1.9,1.9,0.0,0.0,97.46,97.46,unchanged
KYIV-004-2,KYIV-001-3,-4.7,-4.7,0.0,0.0,97.46,97.46,unchanged
KYIV-016-3,KYIV-007-3,4.1,4.1,0.0,0.0,97.45,97.45,unchanged
KYIV-010-1,KYIV-010-3,2.7,2.7,0.0,0.0,97.45,97.45,unchanged
KYIV-016-3,KYIV-007-1,-5.9,-5.9,0.0,0.0,97.45,97.45,unchanged
KYIV-007-1,KYIV-007-3,-0.4,-0.4,0.0,0.0,97.44,97.44,unchanged
KYIV-007-3,KYIV-016-2,3.9,3.9,0.0,0.0,97.44,97.44,unchanged
KYIV-005-3,KYIV-001-1,-2.7,-2.7,0.0,0.0,97.43,97.43,unchanged
KYIV-004-2,KYIV-001-2,0.4,0.4,0.0,0.0,97.43,97.43,unchanged
KYIV-006-3,KYIV-014-3,-1.3,-1.3,0.0,0.0,97.43,97.43,unchanged
KYIV-009-2,KYIV-007-3,-5.4,-5.4,0.0,0.0,97.43,97.43,unchanged
KYIV-011-3,KYIV-015-3,3.9,3.9,0.0,0.0,97.42,97.42,unchanged
KYIV-003-2,KYIV-014-2,-1.7,-1.7,0.0,0.0,97.42,97.42,unchanged
KYIV-012-2,KYIV-012-1,4.7,4.7,0.0,0.0,97.41,97.41,unchanged
KYIV-004-1,KYIV-001-2,4.7,4.7,0.0,0.0,97.4,97.4,unchanged
KYIV-016-1,KYIV-012-1,4.9,4.9,0.0,0.0,97.39,97.39,unchanged
KYIV-006-2,KYIV-010-2,-5.8,-5.8,0.0,0.0,97.38,97.38,unchanged
KYIV-003-2,KYIV-010-3,-1.4,-1.4,0.0,0.0,97.38,97.38,unchanged
KYIV-005-1,KYIV-001-1,-4.3,-4.3,0.0,0.0,97.38,97.38,unchanged
KYIV-003-2,KYIV-010-2,-1.1,-1.1,0.0,0.0,97.37,97.37,unchanged
KYIV-014-3,KYIV-014-1,4.3,4.3,0.0,0.0,97.37,97.37,unchanged
KYIV-003-1,KYIV-003-2,4.8,4.8,0.0,0.0,97.37,97.37,unchanged
KYIV-011-2,KYIV-005-3,3.6,3.6,0.0,0.0,97.37,97.37,unchanged
KYIV-006-2,KYIV-006-1,1.6,1.6,0.0,0.0,97.37,97.37,unchanged
KYIV-016-1,KYIV-007-1,0.3,0.3,0.0,0.0,97.36,97.36,unchanged
KYIV-011-1,KYIV-005-2,-0.6,-0.6,0.0,0.0,97.36,97.36,unchanged
KYIV-006-2,KYIV-006-3,0.4,0.4,0.0,0.0,97.35,97.35,unchanged
KYIV-010-2,KYIV-006-1,5.1,5.1,0.0,0.0,97.35,97.35,unchanged
KYIV-009-3,KYIV-016-3,3.1,3.1,0.0,0.0,97.35,97.35,unchanged
KYIV-007-3,KYIV-009-2,-1.9,-1.9,0.0,0.0,97.35,97.35,unchanged
KYIV-010-2,KYIV-002-1,-0.6,-0.6,0.0,0.0,97.35,97.35,unchanged
KYIV-011-3,KYIV-011-1,3.8,3.8,0.0,0.0,97.35,97.35,unchanged
KYIV-011-2,KYIV-015-2,2.2,2.2,0.0,0.0,97.34,97.34,unchanged
KYIV-016-1,KYIV-007-3,-3.4,-3.4,0.0,0.0,97.34,97.34,unchanged
KYIV-013-3,KYIV-001-1,1.9,1.9,0.0,0.0,97.34,97.34,unchanged
KYIV-003-1,KYIV-010-3,-5.6,-5.6,0.0,0.0,97.33,97.33,unchanged
KYIV-005-2,KYIV-001-2,4.3,4.3,0.0,0.0,97.33,97.33,unchanged
KYIV-010-2,KYIV-003-2,0.7,0.7,0.0,0.0,97.33,97.33,unchanged
KYIV-004-1,KYIV-004-3,-0.3,-0.3,0.0,0.0,97.33,97.33,unchanged
KYIV-016-3,KYIV-016-1,-5.9,-5.9,0.0,0.0,97.33,97.33,unchanged
KYIV-014-3,KYIV-014-2,-5.3,-5.3,0.0,0.0,97.32,97.32,unchanged
KYIV-007-3,KYIV-016-3,-1.6,-1.6,0.0,0.0,97.32,97.32,unchanged
KYIV-013-1,KYIV-013-3,-5.2,-5.2,0.0,0.0,97.31,97.31,unchanged
KYIV-007-3,KYIV-007-2,2.3,2.3,0.0,0.0,97.31,97.31,unchanged
KYIV-007-1,KYIV-009-2,2.1,2.1,0.0,0.0,97.3,97.3,unchanged
KYIV-004-2,KYIV-010-2,-4.2,-4.2,0.0,0.0,97.3,97.3,unchanged
KYIV-011-1,KYIV-015-2,2.2,2.2,0.0,0.0,97.29,97.29,unchanged
KYIV-004-1,KYIV-002-3,5.1,5.1,0.0,0.0,97.28,97.28,unchanged
KYIV-012-2,KYIV-003-1,4.9,4.9,0.0,0.0,97.28,97.28,unchanged
KYIV-010-2,KYIV-010-3,-5.6,-5.6,0.0,0.0,97.28,97.28,unchanged
KYIV-005-3,KYIV-013-2,5.8,5.8,0.0,0.0,97.28,97.28,unchanged
KYIV-012-3,KYIV-004-2,-4.2,-4.2,0.0,0.0,97.28,97.28,unchanged
KYIV-016-1,KYIV-012-3,2.3,2.3,0.0,0.0,97.28,97.28,unchanged
