source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
KYIV-005-1,KYIV-015-1,-1.7,-1.7,0.0,0.0,97.13,97.13,unchanged
KYIV-015-1,KYIV-001-3,-3.9,-3.9,0.0,0.0,97.12,97.12,unchanged
KYIV-009-1,KYIV-012-1,0.9,0.9,0.0,0.0,97.06,97.06,unchanged
KYIV-016-2,KYIV-003-3,2.2,2.2,0.0,0.0,97.06,97.06,unchanged
KYIV-005-1,KYIV-005-3,2.8,2.8,0.0,0.0,97.01,97.01,unchanged
KYIV-015-1,KYIV-015-3,-5.4,-5.4,0.0,0.0,97.0,97.0,unchanged
KYIV-009-1,KYIV-012-3,2.1,2.1,0.0,0.0,96.99,96.99,unchanged
KYIV-005-1,KYIV-007-1,-3.6,-3.6,0.0,0.0,96.96,96.96,unchanged
KYIV-010-1,KYIV-006-2,-1.2,-1.2,0.0,0.0,96.96,96.96,unchanged
KYIV-010-1,KYIV-004-3,0.7,0.7,0.0,0.0,96.9,96.9,unchanged
KYIV-009-2,KYIV-009-3,2.4,2.4,0.0,0.0,96.85,96.85,unchanged
KYIV-007-3,KYIV-005-1,5.3,5.3,0.0,0.0,96.83,96.83,unchanged
KYIV-009-1,KYIV-012-2,5.8,5.8,0.0,0.0,96.81,96.81,unchanged
KYIV-006-1,KYIV-010-1,-5.7,-5.7,0.0,0.0,96.78,96.78,unchanged
KYIV-012-3,KYIV-001-3,0.7,0.7,0.0,0.0,96.76,96.76,unchanged
KYIV-014-3,KYIV-015-2,-2.2,-2.2,0.0,0.0,96.75,96.75,unchanged
KYIV-009-1,KYIV-002-3,-3.3,-3.3,0.0,0.0,96.75,96.75,unchanged
KYIV-009-1,KYIV-002-2,-4.3,-4.3,0.0,0.0,96.72,96.72,unchanged
KYIV-003-2,KYIV-003-1,-2.4,-2.4,0.0,0.0,96.69,96.69,unchanged
KYIV-005-1,KYIV-015-3,0.7,0.7,0.0,0.0,96.68,96.68,unchanged
KYIV-009-2,KYIV-002-2,-1.1,-1.1,0.0,0.0,96.67,96.67,unchanged
KYIV-001-1,KYIV-012-1,-5.1,-5.1,0.0,0.0,96.67,96.67,unchanged
KYIV-007-2,KYIV-007-3,0.9,0.9,0.0,0.0,96.62,96.62,unchanged
KYIV-001-2,KYIV-015-2,-5.2,-5.2,0.0,0.0,96.61,96.61,unchanged
KYIV-009-3,KYIV-012-2,4.9,4.9,0.0,0.0,96.6,96.6,unchanged
KYIV-001-2,KYIV-012-1,-5.6,-5.6,0.0,0.0,96.6,96.6,unchanged
KYIV-012-3,KYIV-012-2,5.2,5.2,0.0,0.0,96.6,96.6,unchanged
KYIV-015-2,KYIV-001-3,4.3,4.3,0.0,0.0,96.6,96.6,unchanged
