source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
RKSB-005-1,RKSB-005-2,-1.0,-2.0,-1.0,84.15,95.24,11.09,decreased
RKSB-001-3,RKSB-001-2,0.0,-2.0,-2.0,83.81,93.84,10.03,decreased
RKSB-023-1,RKSB-023-2,0.0,1.0,1.0,84.32,94.22,9.9,increased
RKSB-008-3,RKSB-008-1,0.0,-2.0,-2.0,83.91,93.59,9.69,decreased
RKSB-007-3,RKSB-007-1,4.0,2.0,-2.0,85.22,94.59,9.38,decreased
RKSB-004-3,RKSB-004-1,3.0,2.0,-1.0,84.98,94.32,9.34,decreased
RKSB-023-3,RKSB-023-1,0.0,2.0,2.0,85.45,94.42,8.96,increased
RKSB-007-2,RKSB-007-1,6.0,4.0,-2.0,84.99,93.62,8.63,decreased
RKSB-012-2,RKSB-012-1,-1.0,2.0,3.0,85.01,93.54,8.53,increased
RKSB-022-2,RKSB-022-1,0.0,2.0,2.0,85.69,93.99,8.3,increased
RKSB-022-3,RKSB-022-1,0.0,1.0,1.0,85.04,93.23,8.19,increased
RKSB-017-2,RKSB-017-1,0.0,1.0,1.0,84.86,92.71,7.86,increased
RKSB-003-1,RKSB-003-2,0.0,1.0,1.0,84.85,92.7,7.85,increased
RKSB-005-2,RKSB-005-1,0.0,-1.0,-1.0,85.73,93.49,7.76,decreased
RKSB-003-2,RKSB-003-1,-4.0,-2.0,2.0,85.58,93.19,7.61,increased
RKSB-020-1,RKSB-020-2,3.0,4.0,1.0,83.96,91.14,7.18,increased
RKSB-004-1,RKSB-004-2,-1.0,1.0,2.0,84.6,91.63,7.03,increased
RKSB-001-3,RKSB-001-1,-4.0,-6.0,-2.0,83.98,90.38,6.4,decreased
RKSB-024-3,RKSB-024-1,-1.0,-4.0,-3.0,85.04,91.19,6.14,decreased
RKSB-018-1,RKSB-018-2,2.0,1.0,-1.0,85.62,91.73,6.11,decreased
RKSB-015-2,RKSB-015-1,0.0,-2.0,-2.0,85.89,91.18,5.28,decreased
