source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
TKYO-005-1,TKYO-014-3,2.2,2.2,0.0,0.0,97.14,97.14,unchanged
TKYO-002-1,TKYO-008-3,-0.6,-0.6,0.0,0.0,97.09,97.09,unchanged
TKYO-009-2,TKYO-003-2,0.3,0.3,0.0,0.0,97.08,97.08,unchanged
TKYO-005-3,TKYO-014-2,3.9,3.9,0.0,0.0,97.08,97.08,unchanged
TKYO-008-2,TKYO-002-3,4.3,4.3,0.0,0.0,97.05,97.05,unchanged
TKYO-011-2,TKYO-016-3,-3.1,-3.1,0.0,0.0,97.03,97.03,unchanged
TKYO-004-3,TKYO-004-2,-1.4,-1.4,0.0,0.0,97.02,97.02,unchanged
TKYO-008-3,TKYO-008-2,3.1,3.1,0.0,0.0,96.99,96.99,unchanged
TKYO-010-1,TKYO-006-3,-1.6,-1.6,0.0,0.0,96.99,96.99,unchanged
TKYO-004-2,TKYO-005-3,-3.4,-3.4,0.0,0.0,96.99,96.99,unchanged
TKYO-002-3,TKYO-001-2,-1.7,-1.7,0.0,0.0,96.98,96.98,unchanged
TKYO-010-2,TKYO-010-3,-4.4,-4.4,0.0,0.0,96.97,96.97,unchanged
TKYO-007-3,TKYO-010-2,-3.3,-3.3,0.0,0.0,96.96,96.96,unchanged
TKYO-001-3,TKYO-008-3,-2.1,-2.1,0.0,0.0,96.95,96.95,unchanged
TKYO-015-2,TKYO-009-2,-3.4,-3.4,0.0,0.0,96.94,96.94,unchanged
TKYO-012-3,TKYO-004-3,-0.2,-0.2,0.0,0.0,96.93,96.93,unchanged
TKYO-012-1,TKYO-012-2,5.3,5.3,0.0,0.0,96.92,96.92,unchanged
TKYO-009-2,TKYO-015-1,5.3,5.3,0.0,0.0,96.92,96.92,unchanged
TKYO-010-1,TKYO-010-3,-0.9,-0.9,0.0,0.0,96.92,96.92,unchanged
TKYO-013-2,TKYO-002-3,3.1,3.1,0.0,0.0,96.9,96.9,unchanged
TKYO-002-3,TKYO-002-2,2.6,2.6,0.0,0.0,96.89,96.89,unchanged
TKYO-005-2,TKYO-014-2,-5.6,-5.6,0.0,0.0,96.89,96.89,unchanged
TKYO-001-2,TKYO-008-2,5.7,5.7,0.0,0.0,96.88,96.88,unchanged
TKYO-013-3,TKYO-002-1,-1.2,-1.2,0.0,0.0,96.88,96.88,unchanged
TKYO-011-1,TKYO-001-3,-2.7,-2.7,0.0,0.0,96.88,96.88,unchanged
TKYO-009-1,TKYO-003-2,5.9,5.9,0.0,0.0,96.88,96.88,unchanged
TKYO-006-3,TKYO-006-1,5.9,5.9,0.0,0.0,96.88,96.88,unchanged
TKYO-002-3,TKYO-008-3,4.9,4.9,0.0,0.0,96.88,96.88,unchanged
TKYO-001-3,TKYO-002-2,1.2,1.2,0.0,0.0,96.88,96.88,unchanged
TKYO-012-3,TKYO-005-1,2.6,2.6,0.0,0.0,96.88,96.88,unchanged
TKYO-006-2,TKYO-014-3,-5.6,-5.6,0.0,0.0,96.87,96.87,unchanged
TKYO-014-3,TKYO-014-1,-0.6,-0.6,0.0,0.0,96.87,96.87,unchanged
TKYO-007-1,TKYO-010-3,-5.7,-5.7,0.0,0.0,96.87,96.87,unchanged
TKYO-004-2,TKYO-015-3,-4.2,-4.2,0.0,0.0,96.86,96.86,unchanged
TKYO-001-3,TKYO-001-2,3.8,3.8,0.0,0.0,96.86,96.86,unchanged
TKYO-005-2,TKYO-004-3,-5.4,-5.4,0.0,0.0,96.86,96.86,unchanged
TKYO-008-3,TKYO-001-2,-3.7,-3.7,0.0,0.0,96.85,96.85,unchanged
TKYO-013-1,TKYO-008-2,-4.8,-4.8,0.0,0.0,96.85,96.85,unchanged
TKYO-002-1,TKYO-013-2,4.4,4.4,0.0,0.0,96.84,96.84,unchanged
TKYO-007-2,TKYO-010-1,4.2,4.2,0.0,0.0,96.84,96.84,unchanged
TKYO-005-2,TKYO-004-1,0.7,0.7,0.0,0.0,96.84,96.84,unchanged
TKYO-004-3,TKYO-015-2,4.4,4.4,0.0,0.0,96.84,96.84,unchanged
TKYO-011-1,TKYO-002-2,-0.1,-0.1,0.0,0.0,96.83,96.83,unchanged
TKYO-010-2,TKYO-006-1,-3.7,-3.7,0.0,0.0,96.83,96.83,unchanged
TKYO-014-2,TKYO-010-3,-4.6,-4.6,0.0,0.0,96.82,96.82,unchanged
TKYO-010-1,TKYO-007-1,2.9,2.9,0.0,0.0,96.81,96.81,unchanged
TKYO-006-2,TKYO-010-2,5.7,5.7,0.0,0.0,96.81,96.81,unchanged
TKYO-016-2,TKYO-012-2,4.8,4.8,0.0,0.0,96.81,96.81,unchanged
TKYO-012-2,TKYO-004-3,5.7,5.7,0.0,0.0,96.8,96.8,unchanged
TKYO-009-3,TKYO-015-1,2.3,2.3,0.0,0.0,96.79,96.79,unchanged
TKYO-004-2,TKYO-015-1,2.7,2.7,0.0,0.0,96.79,96.79,unchanged
TKYO-005-2,TKYO-005-1,4.4,4.4,0.0,0.0,96.79,96.79,unchanged
TKYO-008-1,TKYO-008-2,1.2,1.2,0.0,0.0,96.79,96.79,unchanged
TKYO-003-1,TKYO-009-2,1.6,1.6,0.0,0.0,96.78,96.78,unchanged
TKYO-006-2,TKYO-006-3,0.2,0.2,0.0,0.0,96.78,96.78,unchanged
TKYO-001-2,TKYO-002-2,-0.4,-0.4,0.0,0.0,96.78,96.78,unchanged
TKYO-009-3,TKYO-009-1,-0.6,-0.6,0.0,0.0,96.77,96.77,unchanged
TKYO-002-3,TKYO-013-3,2.3,2.3,0.0,0.0,96.77,96.77,unchanged
TKYO-013-2,TKYO-013-1,0.2,0.2,0.0,0.0,96.77,96.77,unchanged
TKYO-006-2,TKYO-014-2,-5.2,-5.2,0.0,0.0,96.77,96.77,unchanged
TKYO-013-1,TKYO-013-3,5.3,5.3,0.0,0.0,96.76,96.76,unchanged
TKYO-005-2,TKYO-014-1,0.3,0.3,0.0,0.0,96.76,96.76,unchanged
TKYO-011-2,TKYO-001-1,4.1,4.1,0.0,0.0,96.75,96.75,unchanged
TKYO-009-2,TKYO-009-1,2.4,2.4,0.0,0.0,96.75,96.75,unchanged
TKYO-012-3,TKYO-012-1,-5.8,-5.8,0.0,0.0,96.75,96.75,unchanged
TKYO-010-1,TKYO-006-1,-0.6,-0.6,0.0,0.0,96.74,96.74,unchanged
TKYO-011-1,TKYO-001-1,5.7,5.7,0.0,0.0,96.74,96.74,unchanged
TKYO-009-1,TKYO-012-1,-3.1,-3.1,0.0,0.0,96.73,96.73,unchanged
TKYO-002-1,TKYO-013-1,-5.6,-5.6,0.0,0.0,96.73,96.73,unchanged
TKYO-016-3,TKYO-012-2,-3.4,-3.4,0.0,0.0,96.72,96.72,unchanged
TKYO-003-3,TKYO-015-3,3.1,3.1,0.0,0.0,96.72,96.72,unchanged
TKYO-016-1,TKYO-012-3,-1.6,-1.6,0.0,0.0,96.72,96.72,unchanged
TKYO-013-3,TKYO-013-2,-2.2,-2.2,0.0,0.0,96.72,96.72,unchanged
TKYO-015-2,TKYO-004-3,0.4,0.4,0.0,0.0,96.72,96.72,unchanged
TKYO-014-1,TKYO-010-1,0.1,0.1,0.0,0.0,96.72,96.72,unchanged
TKYO-005-1,TKYO-016-3,5.6,5.6,0.0,0.0,96.72,96.72,unchanged
TKYO-001-2,TKYO-002-1,-5.6,-5.6,0.0,0.0,96.72,96.72,unchanged
TKYO-006-2,TKYO-010-1,0.6,0.6,0.0,0.0,96.71,96.71,unchanged
TKYO-012-2,TKYO-016-2,-0.6,-0.6,0.0,0.0,96.71,96.71,unchanged
TKYO-003-3,TKYO-012-3,0.7,0.7,0.0,0.0,96.71,96.71,unchanged
TKYO-007-1,TKYO-015-1,-3.2,-3.2,0.0,0.0,96.71,96.71,unchanged
TKYO-012-2,TKYO-005-2,-2.7,-2.7,0.0,0.0,96.7,96.7,unchanged
TKYO-009-2,TKYO-012-1,-2.7,-2.7,0.0,0.0,96.7,96.7,unchanged
TKYO-002-1,TKYO-013-3,-1.6,-1.6,0.0,0.0,96.7,96.7,unchanged
TKYO-009-1,TKYO-003-1,0.2,0.2,0.0,0.0,96.7,96.7,unchanged
TKYO-007-1,TKYO-010-2,3.2,3.2,0.0,0.0,96.69,96.69,unchanged
TKYO-014-1,TKYO-006-3,2.9,2.9,0.0,0.0,96.69,96.69,unchanged
TKYO-011-3,TKYO-008-2,-3.6,-3.6,0.0,0.0,96.68,96.68,unchanged
TKYO-011-3,TKYO-001-2,1.8,1.8,0.0,0.0,96.68,96.68,unchanged
TKYO-008-1,TKYO-001-3,3.1,3.1,0.0,0.0,96.68,96.68,unchanged
TKYO-008-1,TKYO-002-2,4.4,4.4,0.0,0.0,96.68,96.68,unchanged
TKYO-010-1,TKYO-010-2,-4.6,-4.6,0.0,0.0,96.67,96.67,unchanged
TKYO-008-2,TKYO-002-1,-0.7,-0.7,0.0,0.0,96.67,96.67,unchanged
TKYO-001-3,TKYO-013-1,-2.2,-2.2,0.0,0.0,96.67,96.67,unchanged
TKYO-009-1,TKYO-015-3,0.8,0.8,0.0,0.0,96.67,96.67,unchanged
TKYO-012-2,TKYO-005-1,-1.1,-1.1,0.0,0.0,96.67,96.67,unchanged
TKYO-010-1,TKYO-006-2,-4.6,-4.6,0.0,0.0,96.67,96.67,unchanged
TKYO-016-1,TKYO-016-3,0.2,0.2,0.0,0.0,96.67,96.67,unchanged
TKYO-016-3,TKYO-004-2,-0.6,-0.6,0.0,0.0,96.66,96.66,unchanged
TKYO-011-1,TKYO-001-2,-5.7,-5.7,0.0,0.0,96.66,96.66,unchanged
TKYO-010-2,TKYO-014-1,-1.9,-1.9,0.0,0.0,96.66,96.66,unchanged
TKYO-016-1,TKYO-005-3,-2.3,-2.3,0.0,0.0,96.66,96.66,unchanged
TKYO-013-1,TKYO-002-2,1.2,1.2,0.0,0.0,96.66,96.66,unchanged
TKYO-003-3,TKYO-012-2,4.2,4.2,0.0,0.0,96.66,96.66,unchanged
TKYO-006-2,TKYO-007-1,-1.1,-1.1,0.0,0.0,96.66,96.66,unchanged
TKYO-007-3,TKYO-006-3,0.4,0.4,0.0,0.0,96.66,96.66,unchanged
TKYO-015-2,TKYO-009-1,-5.8,-5.8,0.0,0.0,96.65,96.65,unchanged
TKYO-006-3,TKYO-014-1,-1.4,-1.4,0.0,0.0,96.65,96.65,unchanged
TKYO-009-2,TKYO-009-3,-2.6,-2.6,0.0,0.0,96.64,96.64,unchanged
TKYO-010-2,TKYO-007-2,3.8,3.8,0.0,0.0,96.64,96.64,unchanged
TKYO-011-1,TKYO-002-1,1.3,1.3,0.0,0.0,96.64,96.64,unchanged
TKYO-016-3,TKYO-005-2,1.2,1.2,0.0,0.0,96.64,96.64,unchanged
