source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
TKYO-010-1,TKYO-002-3,3.9,3.9,0.0,0.0,97.54,97.54,unchanged
TKYO-001-2,TKYO-007-3,-3.3,-3.3,0.0,0.0,97.5,97.5,unchanged
TKYO-001-2,TKYO-001-1,2.4,2.4,0.0,0.0,97.5,97.5,unchanged
TKYO-010-3,TKYO-005-2,0.1,0.1,0.0,0.0,97.49,97.49,unchanged
TKYO-008-2,TKYO-008-3,-1.7,-1.7,0.0,0.0,97.49,97.49,unchanged
TKYO-014-2,TKYO-014-3,-0.1,-0.1,0.0,0.0,97.49,97.49,unchanged
TKYO-010-3,TKYO-002-1,-4.4,-4.4,0.0,0.0,97.46,97.46,unchanged
TKYO-005-3,TKYO-010-3,-4.7,-4.7,0.0,0.0,97.43,97.43,unchanged
TKYO-015-1,TKYO-004-3,-5.1,-5.1,0.0,0.0,97.42,97.42,unchanged
TKYO-001-2,TKYO-009-2,3.4,3.4,0.0,0.0,97.42,97.42,unchanged
TKYO-012-3,TKYO-016-2,4.9,4.9,0.0,0.0,97.41,97.41,unchanged
TKYO-013-2,TKYO-002-1,-1.2,-1.2,0.0,0.0,97.41,97.41,unchanged
TKYO-012-2,TKYO-016-1,-0.6,-0.6,0.0,0.0,97.41,97.41,unchanged
TKYO-015-1,TKYO-011-3,3.8,3.8,0.0,0.0,97.41,97.41,unchanged
TKYO-007-2,TKYO-009-1,-0.9,-0.9,0.0,0.0,97.4,97.4,unchanged
TKYO-011-1,TKYO-011-2,-4.3,-4.3,0.0,0.0,97.4,97.4,unchanged
TKYO-003-2,TKYO-005-2,-0.4,-0.4,0.0,0.0,97.37,97.37,unchanged
TKYO-006-1,TKYO-012-3,-5.4,-5.4,0.0,0.0,97.36,97.36,unchanged
TKYO-016-2,TKYO-006-3,-2.2,-2.2,0.0,0.0,97.35,97.35,unchanged
TKYO-014-1,TKYO-009-2,-2.2,-2.2,0.0,0.0,97.34,97.34,unchanged
TKYO-009-1,TKYO-007-2,-5.8,-5.8,0.0,0.0,97.32,97.32,unchanged
TKYO-007-1,TKYO-006-3,0.3,0.3,0.0,0.0,97.3,97.3,unchanged
TKYO-010-1,TKYO-005-1,-0.9,-0.9,0.0,0.0,97.3,97.3,unchanged
TKYO-010-1,TKYO-005-3,-2.3,-2.3,0.0,0.0,97.29,97.29,unchanged
TKYO-004-3,TKYO-015-2,0.6,0.6,0.0,0.0,97.29,97.29,unchanged
TKYO-006-1,TKYO-009-1,5.3,5.3,0.0,0.0,97.29,97.29,unchanged
TKYO-005-2,TKYO-002-1,2.8,2.8,0.0,0.0,97.28,97.28,unchanged
TKYO-013-3,TKYO-003-1,-1.9,-1.9,0.0,0.0,97.27,97.27,unchanged
TKYO-005-2,TKYO-003-2,-5.3,-5.3,0.0,0.0,97.27,97.27,unchanged
TKYO-010-3,TKYO-010-1,-0.8,-0.8,0.0,0.0,97.26,97.26,unchanged
TKYO-001-3,TKYO-007-2,-2.6,-2.6,0.0,0.0,97.25,97.25,unchanged
TKYO-010-2,TKYO-010-3,4.3,4.3,0.0,0.0,97.25,97.25,unchanged
TKYO-001-2,TKYO-001-3,1.7,1.7,0.0,0.0,97.25,97.25,unchanged
TKYO-008-3,TKYO-002-3,-3.7,-3.7,0.0,0.0,97.25,97.25,unchanged
TKYO-002-2,TKYO-008-3,-4.2,-4.2,0.0,0.0,97.24,97.24,unchanged
TKYO-015-3,TKYO-011-3,-1.8,-1.8,0.0,0.0,97.23,97.23,unchanged
TKYO-004-3,TKYO-004-2,-3.2,-3.2,0.0,0.0,97.22,97.22,unchanged
TKYO-005-1,TKYO-003-2,1.9,1.9,0.0,0.0,97.22,97.22,unchanged
TKYO-015-2,TKYO-004-1,0.9,0.9,0.0,0.0,97.21,97.21,unchanged
TKYO-014-1,TKYO-010-2,-2.2,-2.2,0.0,0.0,97.21,97.21,unchanged
TKYO-012-1,TKYO-012-2,4.4,4.4,0.0,0.0,97.21,97.21,unchanged
TKYO-014-3,TKYO-010-2,1.9,1.9,0.0,0.0,97.2,97.2,unchanged
TKYO-014-1,TKYO-010-1,2.8,2.8,0.0,0.0,97.19,97.19,unchanged
TKYO-002-2,TKYO-002-1,-0.4,-0.4,0.0,0.0,97.19,97.19,unchanged
TKYO-005-2,TKYO-003-3,4.2,4.2,0.0,0.0,97.19,97.19,unchanged
TKYO-002-1,TKYO-005-2,-2.3,-2.3,0.0,0.0,97.19,97.19,unchanged
TKYO-011-1,TKYO-015-2,0.7,0.7,0.0,0.0,97.19,97.19,unchanged
TKYO-012-3,TKYO-014-1,-4.1,-4.1,0.0,0.0,97.19,97.19,unchanged
TKYO-001-2,TKYO-009-1,-5.8,-5.8,0.0,0.0,97.19,97.19,unchanged
TKYO-013-1,TKYO-005-2,4.9,4.9,0.0,0.0,97.19,97.19,unchanged
TKYO-004-3,TKYO-011-2,0.1,0.1,0.0,0.0,97.18,97.18,unchanged
TKYO-013-1,TKYO-002-3,-2.9,-2.9,0.0,0.0,97.18,97.18,unchanged
TKYO-004-1,TKYO-011-2,2.2,2.2,0.0,0.0,97.17,97.17,unchanged
TKYO-009-1,TKYO-016-1,-4.6,-4.6,0.0,0.0,97.17,97.17,unchanged
