source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
TKYO-002-2,TKYO-015-1,3.9,3.9,0.0,0.0,96.98,96.98,unchanged
TKYO-009-1,TKYO-001-2,4.4,4.4,0.0,0.0,96.93,96.93,unchanged
TKYO-012-1,TKYO-006-1,1.3,1.3,0.0,0.0,96.92,96.92,unchanged
TKYO-009-3,TKYO-001-2,0.9,0.9,0.0,0.0,96.87,96.87,unchanged
TKYO-015-1,TKYO-008-3,5.9,5.9,0.0,0.0,96.84,96.84,unchanged
TKYO-014-3,TKYO-014-2,-4.6,-4.6,0.0,0.0,96.83,96.83,unchanged
TKYO-006-1,TKYO-012-2,-3.8,-3.8,0.0,0.0,96.81,96.81,unchanged
TKYO-002-1,TKYO-011-1,-5.1,-5.1,0.0,0.0,96.81,96.81,unchanged
TKYO-002-1,TKYO-012-2,-5.6,-5.6,0.0,0.0,96.78,96.78,unchanged
TKYO-005-2,TKYO-006-3,-0.1,-0.1,0.0,0.0,96.77,96.77,unchanged
TKYO-007-1,TKYO-001-3,-0.4,-0.4,0.0,0.0,96.75,96.75,unchanged
TKYO-016-3,TKYO-001-1,1.8,1.8,0.0,0.0,96.75,96.75,unchanged
TKYO-001-2,TKYO-007-2,-4.9,-4.9,0.0,0.0,96.75,96.75,unchanged
TKYO-009-2,TKYO-001-2,3.6,3.6,0.0,0.0,96.75,96.75,unchanged
TKYO-001-1,TKYO-007-2,0.9,0.9,0.0,0.0,96.74,96.74,unchanged
TKYO-011-3,TKYO-011-1,-1.9,-1.9,0.0,0.0,96.73,96.73,unchanged
TKYO-006-3,TKYO-012-1,0.2,0.2,0.0,0.0,96.73,96.73,unchanged
TKYO-011-1,TKYO-009-3,3.1,3.1,0.0,0.0,96.72,96.72,unchanged
TKYO-012-1,TKYO-012-2,-4.1,-4.1,0.0,0.0,96.71,96.71,unchanged
TKYO-007-1,TKYO-009-3,-1.9,-1.9,0.0,0.0,96.7,96.7,unchanged
TKYO-014-1,TKYO-007-2,5.4,5.4,0.0,0.0,96.69,96.69,unchanged
TKYO-015-2,TKYO-002-2,-3.4,-3.4,0.0,0.0,96.69,96.69,unchanged
TKYO-014-3,TKYO-007-2,-0.3,-0.3,0.0,0.0,96.69,96.69,unchanged
TKYO-006-2,TKYO-009-2,-4.8,-4.8,0.0,0.0,96.67,96.67,unchanged
TKYO-007-1,TKYO-016-1,4.3,4.3,0.0,0.0,96.66,96.66,unchanged
TKYO-015-2,TKYO-008-1,0.7,0.7,0.0,0.0,96.65,96.65,unchanged
TKYO-009-3,TKYO-001-1,2.6,2.6,0.0,0.0,96.65,96.65,unchanged
TKYO-002-1,TKYO-002-3,4.8,4.8,0.0,0.0,96.64,96.64,unchanged
TKYO-010-1,TKYO-012-3,-3.4,-3.4,0.0,0.0,96.64,96.64,unchanged
TKYO-001-1,TKYO-009-2,-2.3,-2.3,0.0,0.0,96.63,96.63,unchanged
TKYO-006-2,TKYO-012-3,2.6,2.6,0.0,0.0,96.63,96.63,unchanged
TKYO-013-1,TKYO-003-2,2.8,2.8,0.0,0.0,96.62,96.62,unchanged
TKYO-014-3,TKYO-001-1,5.9,5.9,0.0,0.0,96.62,96.62,unchanged
TKYO-015-1,TKYO-015-3,-4.9,-4.9,0.0,0.0,96.62,96.62,unchanged
TKYO-001-3,TKYO-009-3,-0.1,-0.1,0.0,0.0,96.62,96.62,unchanged
TKYO-002-1,TKYO-015-1,3.9,3.9,0.0,0.0,96.62,96.62,unchanged
TKYO-015-1,TKYO-015-2,-0.3,-0.3,0.0,0.0,96.61,96.61,unchanged
TKYO-013-1,TKYO-003-3,-2.8,-2.8,0.0,0.0,96.6,96.6,unchanged
TKYO-012-2,TKYO-012-3,4.8,4.8,0.0,0.0,96.6,96.6,unchanged
TKYO-008-1,TKYO-004-1,-4.2,-4.2,0.0,0.0,96.59,96.59,unchanged
TKYO-008-3,TKYO-008-1,-4.9,-4.9,0.0,0.0,96.59,96.59,unchanged
TKYO-013-3,TKYO-003-1,2.6,2.6,0.0,0.0,96.59,96.59,unchanged
TKYO-015-1,TKYO-004-3,-5.3,-5.3,0.0,0.0,96.58,96.58,unchanged
TKYO-008-1,TKYO-015-2,-2.9,-2.9,0.0,0.0,96.58,96.58,unchanged
TKYO-009-3,TKYO-007-1,1.6,1.6,0.0,0.0,96.57,96.57,unchanged
TKYO-015-3,TKYO-004-1,0.1,0.1,0.0,0.0,96.57,96.57,unchanged
TKYO-007-1,TKYO-007-2,-0.7,-0.7,0.0,0.0,96.57,96.57,unchanged
TKYO-009-2,TKYO-009-1,3.8,3.8,0.0,0.0,96.55,96.55,unchanged
TKYO-001-1,TKYO-007-1,0.6,0.6,0.0,0.0,96.55,96.55,unchanged
TKYO-008-2,TKYO-008-3,-5.1,-5.1,0.0,0.0,96.55,96.55,unchanged
TKYO-004-3,TKYO-014-1,-5.9,-5.9,0.0,0.0,96.54,96.54,unchanged
TKYO-004-3,TKYO-015-1,-2.8,-2.8,0.0,0.0,96.54,96.54,unchanged
TKYO-004-2,TKYO-004-3,-3.4,-3.4,0.0,0.0,96.54,96.54,unchanged
TKYO-008-3,TKYO-004-2,0.6,0.6,0.0,0.0,96.54,96.54,unchanged
TKYO-006-3,TKYO-009-3,3.2,3.2,0.0,0.0,96.54,96.54,unchanged
TKYO-006-2,TKYO-006-1,-2.9,-2.9,0.0,0.0,96.53,96.53,unchanged
TKYO-011-2,TKYO-006-1,4.6,4.6,0.0,0.0,96.53,96.53,unchanged
TKYO-006-3,TKYO-011-1,3.2,3.2,0.0,0.0,96.53,96.53,unchanged
TKYO-001-2,TKYO-009-2,1.9,1.9,0.0,0.0,96.53,96.53,unchanged
TKYO-008-3,TKYO-015-3,-2.2,-2.2,0.0,0.0,96.52,96.52,unchanged
TKYO-003-3,TKYO-006-1,4.6,4.6,0.0,0.0,96.52,96.52,unchanged
TKYO-003-3,TKYO-006-3,3.4,3.4,0.0,0.0,96.52,96.52,unchanged
TKYO-008-2,TKYO-014-2,0.2,0.2,0.0,0.0,96.51,96.51,unchanged
TKYO-005-2,TKYO-003-3,5.2,5.2,0.0,0.0,96.51,96.51,unchanged
TKYO-005-1,TKYO-006-1,1.6,1.6,0.0,0.0,96.51,96.51,unchanged
TKYO-003-3,TKYO-003-2,-3.8,-3.8,0.0,0.0,96.51,96.51,unchanged
TKYO-009-3,TKYO-009-2,-2.1,-2.1,0.0,0.0,96.51,96.51,unchanged
TKYO-011-2,TKYO-006-3,4.7,4.7,0.0,0.0,96.51,96.51,unchanged
TKYO-010-3,TKYO-003-2,5.4,5.4,0.0,0.0,96.51,96.51,unchanged
TKYO-016-2,TKYO-001-3,4.6,4.6,0.0,0.0,96.51,96.51,unchanged
TKYO-014-1,TKYO-011-2,-2.2,-2.2,0.0,0.0,96.49,96.49,unchanged
TKYO-006-3,TKYO-006-1,0.1,0.1,0.0,0.0,96.49,96.49,unchanged
TKYO-007-1,TKYO-014-1,-3.2,-3.2,0.0,0.0,96.49,96.49,unchanged
TKYO-009-1,TKYO-007-1,-0.6,-0.6,0.0,0.0,96.49,96.49,unchanged
TKYO-015-3,TKYO-004-2,4.2,4.2,0.0,0.0,96.49,96.49,unchanged
TKYO-013-3,TKYO-012-1,5.1,5.1,0.0,0.0,96.49,96.49,unchanged
TKYO-010-2,TKYO-010-1,-0.7,-0.7,0.0,0.0,96.49,96.49,unchanged
TKYO-007-2,TKYO-007-1,2.6,2.6,0.0,0.0,96.48,96.48,unchanged
TKYO-008-2,TKYO-004-3,-2.3,-2.3,0.0,0.0,96.48,96.48,unchanged
TKYO-006-1,TKYO-009-1,-4.4,-4.4,0.0,0.0,96.48,96.48,unchanged
TKYO-008-1,TKYO-008-2,4.7,4.7,0.0,0.0,96.48,96.48,unchanged
TKYO-004-3,TKYO-004-1,0.4,0.4,0.0,0.0,96.48,96.48,unchanged
TKYO-009-1,TKYO-001-1,2.1,2.1,0.0,0.0,96.48,96.48,unchanged
TKYO-005-2,TKYO-006-2,-0.2,-0.2,0.0,0.0,96.48,96.48,unchanged
TKYO-014-1,TKYO-007-3,1.1,1.1,0.0,0.0,96.48,96.48,unchanged
TKYO-016-3,TKYO-006-2,5.2,5.2,0.0,0.0,96.48,96.48,unchanged
TKYO-016-1,TKYO-001-3,-4.9,-4.9,0.0,0.0,96.48,96.48,unchanged
TKYO-011-3,TKYO-006-1,-3.1,-3.1,0.0,0.0,96.47,96.47,unchanged
TKYO-008-2,TKYO-014-1,5.9,5.9,0.0,0.0,96.47,96.47,unchanged
TKYO-012-2,TKYO-012-1,-4.4,-4.4,0.0,0.0,96.47,96.47,unchanged
TKYO-015-2,TKYO-011-1,4.9,4.9,0.0,0.0,96.47,96.47,unchanged
TKYO-013-3,TKYO-010-2,-5.8,-5.8,0.0,0.0,96.46,96.46,unchanged
TKYO-006-2,TKYO-009-3,5.1,5.1,0.0,0.0,96.46,96.46,unchanged
TKYO-013-1,TKYO-010-3,1.4,1.4,0.0,0.0,96.46,96.46,unchanged
TKYO-001-1,TKYO-007-3,-5.2,-5.2,0.0,0.0,96.45,96.45,unchanged
TKYO-013-1,TKYO-005-1,4.6,4.6,0.0,0.0,96.45,96.45,unchanged
TKYO-002-1,TKYO-015-2,-2.9,-2.9,0.0,0.0,96.45,96.45,unchanged
TKYO-002-1,TKYO-012-3,3.6,3.6,0.0,0.0,96.45,96.45,unchanged
TKYO-005-2,TKYO-016-2,-4.2,-4.2,0.0,0.0,96.44,96.44,unchanged
TKYO-011-1,TKYO-011-3,5.3,5.3,0.0,0.0,96.44,96.44,unchanged
TKYO-004-2,TKYO-011-1,-0.3,-0.3,0.0,0.0,96.44,96.44,unchanged
TKYO-002-2,TKYO-002-3,5.6,5.6,0.0,0.0,96.44,96.44,unchanged
TKYO-002-1,TKYO-015-3,-5.7,-5.7,0.0,0.0,96.44,96.44,unchanged
TKYO-015-2,TKYO-004-3,-5.6,-5.6,0.0,0.0,96.44,96.44,unchanged
TKYO-006-2,TKYO-006-3,-0.8,-0.8,0.0,0.0,96.43,96.43,unchanged
TKYO-012-3,TKYO-003-2,-0.8,-0.8,0.0,0.0,96.43,96.43,unchanged
TKYO-003-1,TKYO-016-1,4.2,4.2,0.0,0.0,96.43,96.43,unchanged
TKYO-001-3,TKYO-009-2,5.4,5.4,0.0,0.0,96.43,96.43,unchanged
TKYO-010-1,TKYO-003-1,1.8,1.8,0.0,0.0,96.43,96.43,unchanged
TKYO-016-3,TKYO-016-1,-5.4,-5.4,0.0,0.0,96.43,96.43,unchanged
TKYO-009-2,TKYO-001-3,5.1,5.1,0.0,0.0,96.43,96.43,unchanged
TKYO-012-1,TKYO-006-2,4.7,4.7,0.0,0.0,96.43,96.43,unchanged
TKYO-001-3,TKYO-007-3,-3.9,-3.9,0.0,0.0,96.42,96.42,unchanged
TKYO-012-3,TKYO-006-2,2.4,2.4,0.0,0.0,96.42,96.42,unchanged
TKYO-011-2,TKYO-014-2,-0.8,-0.8,0.0,0.0,96.42,96.42,unchanged
TKYO-014-3,TKYO-001-3,-3.9,-3.9,0.0,0.0,96.42,96.42,unchanged
TKYO-005-2,TKYO-006-1,-5.2,-5.2,0.0,0.0,96.42,96.42,unchanged
TKYO-016-1,TKYO-001-2,1.7,1.7,0.0,0.0,96.42,96.42,unchanged
TKYO-006-3,TKYO-009-1,3.3,3.3,0.0,0.0,96.41,96.41,unchanged
TKYO-004-2,TKYO-015-2,-3.8,-3.8,0.0,0.0,96.41,96.41,unchanged
TKYO-009-1,TKYO-007-2,-5.6,-5.6,0.0,0.0,96.41,96.41,unchanged
TKYO-011-1,TKYO-009-1,-3.7,-3.7,0.0,0.0,96.41,96.41,unchanged
TKYO-009-2,TKYO-016-1,0.9,0.9,0.0,0.0,96.41,96.41,unchanged
TKYO-012-2,TKYO-011-2,0.9,0.9,0.0,0.0,96.41,96.41,unchanged
