source_cell,target_cell,initial_cio_dB,optimized_cio_dB,cio_delta_dB,before_success_%,after_success_%,improvement_%,action
TKYO-008-3,TKYO-010-1,1.1,1.1,0.0,0.0,97.77,97.77,unchanged
TKYO-016-3,TKYO-004-1,2.1,2.1,0.0,0.0,97.71,97.71,unchanged
TKYO-006-2,TKYO-015-1,5.6,5.6,0.0,0.0,97.68,97.68,unchanged
TKYO-006-1,TKYO-001-2,-0.8,-0.8,0.0,0.0,97.66,97.66,unchanged
TKYO-014-1,TKYO-014-3,-0.2,-0.2,0.0,0.0,97.65,97.65,unchanged
TKYO-010-1,TKYO-010-2,2.7,2.7,0.0,0.0,97.64,97.64,unchanged
TKYO-007-2,TKYO-015-3,3.6,3.6,0.0,0.0,97.63,97.63,unchanged
TKYO-001-1,TKYO-001-3,-5.1,-5.1,0.0,0.0,97.62,97.62,unchanged
TKYO-014-1,TKYO-014-2,5.9,5.9,0.0,0.0,97.6,97.6,unchanged
TKYO-003-1,TKYO-003-3,5.8,5.8,0.0,0.0,97.59,97.59,unchanged
TKYO-001-1,TKYO-001-2,-2.9,-2.9,0.0,0.0,97.58,97.58,unchanged
TKYO-006-1,TKYO-007-3,0.3,0.3,0.0,0.0,97.58,97.58,unchanged
TKYO-006-2,TKYO-001-3,5.8,5.8,0.0,0.0,97.55,97.55,unchanged
TKYO-007-2,TKYO-007-1,3.3,3.3,0.0,0.0,97.53,97.53,unchanged
TKYO-014-1,TKYO-005-1,-2.8,-2.8,0.0,0.0,97.52,97.52,unchanged
TKYO-013-1,TKYO-003-2,0.8,0.8,0.0,0.0,97.51,97.51,unchanged
TKYO-011-1,TKYO-011-2,-4.3,-4.3,0.0,0.0,97.51,97.51,unchanged
TKYO-004-2,TKYO-004-1,-2.2,-2.2,0.0,0.0,97.5,97.5,unchanged
TKYO-011-3,TKYO-002-3,3.8,3.8,0.0,0.0,97.48,97.48,unchanged
TKYO-008-3,TKYO-008-2,0.4,0.4,0.0,0.0,97.47,97.47,unchanged
TKYO-010-1,TKYO-014-3,0.2,0.2,0.0,0.0,97.46,97.46,unchanged
TKYO-013-1,TKYO-002-1,-5.7,-5.7,0.0,0.0,97.45,97.45,unchanged
TKYO-012-3,TKYO-004-2,4.4,4.4,0.0,0.0,97.45,97.45,unchanged
TKYO-012-3,TKYO-001-2,4.4,4.4,0.0,0.0,97.45,97.45,unchanged
TKYO-005-2,TKYO-007-1,-2.9,-2.9,0.0,0.0,97.45,97.45,unchanged
TKYO-005-3,TKYO-005-1,-3.7,-3.7,0.0,0.0,97.44,97.44,unchanged
TKYO-014-3,TKYO-008-2,-4.1,-4.1,0.0,0.0,97.44,97.44,unchanged
TKYO-012-2,TKYO-004-1,-1.1,-1.1,0.0,0.0,97.43,97.43,unchanged
TKYO-009-2,TKYO-002-1,-4.2,-4.2,0.0,0.0,97.43,97.43,unchanged
TKYO-007-2,TKYO-015-1,0.7,0.7,0.0,0.0,97.42,97.42,unchanged
TKYO-005-1,TKYO-015-1,4.3,4.3,0.0,0.0,97.42,97.42,unchanged
TKYO-001-1,TKYO-004-3,5.3,5.3,0.0,0.0,97.42,97.42,unchanged
TKYO-015-2,TKYO-006-1,-1.8,-1.8,0.0,0.0,97.42,97.42,unchanged
TKYO-015-3,TKYO-005-3,-5.3,-5.3,0.0,0.0,97.41,97.41,unchanged
TKYO-010-3,TKYO-009-2,-0.3,-0.3,0.0,0.0,97.41,97.41,unchanged
TKYO-016-2,TKYO-004-2,-0.3,-0.3,0.0,0.0,97.41,97.41,unchanged
TKYO-013-3,TKYO-003-2,-4.2,-4.2,0.0,0.0,97.41,97.41,unchanged
TKYO-004-1,TKYO-012-2,-4.3,-4.3,0.0,0.0,97.41,97.41,unchanged
TKYO-016-2,TKYO-016-1,-5.8,-5.8,0.0,0.0,97.41,97.41,unchanged
TKYO-001-3,TKYO-004-2,5.6,5.6,0.0,0.0,97.4,97.4,unchanged
TKYO-004-1,TKYO-004-2,-2.7,-2.7,0.0,0.0,97.39,97.39,unchanged
TKYO-004-1,TKYO-001-2,-5.6,-5.6,0.0,0.0,97.39,97.39,unchanged
TKYO-009-3,TKYO-015-1,3.4,3.4,0.0,0.0,97.39,97.39,unchanged
TKYO-005-3,TKYO-007-2,-2.2,-2.2,0.0,0.0,97.39,97.39,unchanged
TKYO-004-3,TKYO-012-1,-4.1,-4.1,0.0,0.0,97.39,97.39,unchanged
TKYO-005-3,TKYO-005-2,-3.9,-3.9,0.0,0.0,97.38,97.38,unchanged
TKYO-010-2,TKYO-008-2,-5.2,-5.2,0.0,0.0,97.38,97.38,unchanged
TKYO-006-3,TKYO-015-3,3.1,3.1,0.0,0.0,97.38,97.38,unchanged
TKYO-011-3,TKYO-013-1,-3.4,-3.4,0.0,0.0,97.37,97.37,unchanged
TKYO-013-3,TKYO-003-1,4.2,4.2,0.0,0.0,97.37,97.37,unchanged
TKYO-004-1,TKYO-004-3,3.8,3.8,0.0,0.0,97.36,97.36,unchanged
TKYO-011-1,TKYO-013-3,-1.9,-1.9,0.0,0.0,97.36,97.36,unchanged
